Start;16/09/2024;8h51;End;;;Day;Hour;;A;B;C;Dilution;Day;Time (h);Time (s);OD 0A;Std 0A;OD 0B;Std 0B;OD 0C;Std 0C;OD 1A;Std 1A;OD 1B;Std 1B;OD 1C;Std 1C;OD 2A;Std 2A;OD 2B;Std 2B;OD 2C;Std 2C;OD 3A;Std 3A;OD 3B;Std 3B;OD 3C;Std 3C;OD 4A;Std 4A;OD 4B;Std 4B;OD 4C;Std 4C;mean 0;std 0;mean 1;std 1;mean 2;std 2;mean 3;std 3;mean 4;std 4;dilution 0;dilution 1;dilution 2;dilution 3;dilution 4;OD 0A NC;OD 0B NC;OD 0C NC;OD 1A NC;OD 1B NC;OD 1C NC;OD 2A NC;OD 2B NC;OD 2C NC;OD 3A NC;OD 3B NC;OD 3C NC;OD 4A NC;OD 4B NC;OD 4C NC;mean 0 NC;mean 1 NC;mean 2 NC;mean 3 NC;mean 4 NC
;;;;;;16/09/2024;18h25;0;0.016;0.014;0.017;1;16/09/2024;8h51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0.014;0.014;0.016;1;16/09/2024;18h25;34440;0.0146666666666667;0.00115470053837925;0.0123333333333333;0.00288675134594813;0.0163333333333333;0.000577350269189626;0.0213333333333333;0.000577350269189624;0.017;0.000999999999999999;0.0143333333333333;0.00378593889720018;0.02;0.00173205080756888;0.0223333333333333;0.00152752523165195;0.0206666666666667;0.00251661147842358;0.0196666666666667;0.000577350269189626;0.0216666666666667;0.00251661147842358;0.0173333333333333;0.00115470053837925;0.022;0.002;0.0206666666666667;0.000577350269189626;0.022;0.000999999999999999;0.0144444444444444;0.00200923792444724;0.0175555555555556;0.00353291402124103;0.021;0.00120185042515466;0.0195555555555556;0.0021688023662159;0.0215555555555556;0.000769800358919502;1;1;1;1;1;0.0146666666666667;0.0123333333333333;0.0163333333333333;0.0213333333333333;0.017;0.0143333333333333;0.02;0.0223333333333333;0.0206666666666667;0.0196666666666667;0.0216666666666667;0.0173333333333333;0.022;0.0206666666666667;0.022;0.0144444444444444;0.0175555555555556;0.021;0.0195555555555556;0.0215555555555556
;;;;;;;;;0.014;0.009;0.016;1;17/09/2024;8h41;85800;0.0306666666666667;0.00208166599946613;0.035;0.00264575131106459;0.028;0.00346410161513776;0.0393333333333333;0.00152752523165195;0.037;0.001;0.0293333333333333;0.00152752523165195;0.039;0.001;0.0383333333333333;0.00208166599946613;0.0356666666666667;0.00152752523165194;0.0333333333333333;0.000577350269189626;0.0336666666666667;0.000577350269189626;0.0326666666666667;0.000577350269189626;0.0313333333333333;0.000577350269189626;0.032;0.001;0.025;0.00173205080756888;0.0312222222222222;0.00353291402124104;0.0352222222222222;0.00523166994088602;0.0376666666666667;0.00176383420737639;0.0332222222222222;0.000509175077217315;0.0294444444444444;0.00386340858904749;1;1;1;1;1;0.0306666666666667;0.035;0.028;0.0393333333333333;0.037;0.0293333333333333;0.039;0.0383333333333333;0.0356666666666667;0.0333333333333333;0.0336666666666667;0.0326666666666667;0.0313333333333333;0.032;0.025;0.0312222222222222;0.0352222222222222;0.0376666666666667;0.0332222222222222;0.0294444444444444
;;;;;;;;mean 0;0.0146666666666667;0.0123333333333333;0.0163333333333333;1;17/09/2024;17h37;117960;0.03;0.00173205080756888;0.024;0.001;0.0456666666666667;0.000577350269189626;0.0446666666666667;0.000577350269189626;0.05;0.002;0.0336666666666667;0.00152752523165195;0.0483333333333333;0.00208166599946613;0.04;0.001;0.0523333333333333;0.00288675134594813;0.0436666666666667;0.00115470053837925;0.0433333333333333;0.00152752523165195;0.034;0.005;0.0293333333333333;0.0023094010767585;0.0273333333333333;0.00152752523165195;0.0323333333333333;0.00115470053837925;0.0332222222222222;0.0111869633121839;0.0427777777777778;0.0083288877030712;0.0468888888888889;0.00629226450434123;0.0403333333333333;0.00548735921105144;0.0296666666666667;0.00251661147842358;1;1;1;1;1;0.03;0.024;0.0456666666666667;0.0446666666666667;0.05;0.0336666666666667;0.0483333333333333;0.04;0.0523333333333333;0.0436666666666667;0.0433333333333333;0.034;0.0293333333333333;0.0273333333333333;0.0323333333333333;0.0332222222222222;0.0427777777777778;0.0468888888888889;0.0403333333333333;0.0296666666666667
;;;;;;;;dilution 0;0.0146666666666667;0.0123333333333333;0.0163333333333333;;18/09/2024;9h22;174660;0.100666666666667;0.00503322295684716;0.0713333333333333;0.00152752523165194;0.0886666666666667;0.000577350269189626;0.069;0.00173205080756887;0.116333333333333;0.000577350269189626;0.119666666666667;0.00404145188432738;0.137333333333333;0.00230940107675851;0.14;0.00199999999999999;0.157;0.00264575131106459;0.112333333333333;0.00321455025366432;0.100333333333333;0.00152752523165194;0.099;0.001;0.075;0.00519615242270664;0.0693333333333333;0.00152752523165194;0.07;0.00173205080756887;0.0868888888888889;0.0147472533538107;0.101666666666667;0.0283392150757764;0.144777777777778;0.0106684026365157;0.103888888888889;0.00734342739638147;0.0714444444444444;0.00309719108105918;1;1;1;1;1;0.100666666666667;0.0713333333333333;0.0886666666666667;0.069;0.116333333333333;0.119666666666667;0.137333333333333;0.14;0.157;0.112333333333333;0.100333333333333;0.099;0.075;0.0693333333333333;0.07;0.0868888888888889;0.101666666666667;0.144777777777778;0.103888888888889;0.0714444444444444
;;;;;;;;1;0.022;0.017;0.01;1;18/09/2024;14h12;192060;0.0876666666666667;0.00378593889720018;0.071;0.00173205080756887;0.119666666666667;0.000577350269189626;0.0883333333333333;0.000577350269189626;0.088;0.00458257569495584;0.098;0.00173205080756888;0.128333333333333;0.00115470053837925;0.151333333333333;0.00208166599946613;0.173;0.001;0.129333333333333;0.00115470053837925;0.122;0.00173205080756888;0.106333333333333;0.00230940107675851;0.071;0.00115470053837925;0.067;0.00264575131106459;0.0696666666666667;0.00115470053837924;0.0927777777777778;0.0247326444947503;0.0914444444444445;0.00567972351961426;0.150888888888889;0.0223366498366684;0.119222222222222;0.0117489164196975;0.0692222222222222;0.00203670030886926;1;1;1;1;1;0.0876666666666667;0.071;0.119666666666667;0.0883333333333333;0.088;0.098;0.128333333333333;0.151333333333333;0.173;0.129333333333333;0.122;0.106333333333333;0.071;0.067;0.0696666666666667;0.0927777777777778;0.0914444444444445;0.150888888888889;0.119222222222222;0.0692222222222222
;;;;;;;;;0.021;0.018;0.017;1;18/09/2024;18h15;206640;0.101;0.000999999999999994;0.0866666666666667;0.0023094010767585;0.0953333333333333;0.0030550504633039;0.0956666666666667;0.000577350269189626;0.079;0.00173205080756888;0.0793333333333333;0.00208166599946613;0.166666666666667;0.00208166599946613;0.234;0.00556776436283001;0.177;0.00360555127546399;0.156666666666667;0.00208166599946613;0.137;0.001;0.134;0.002;0.065;0.00264575131106459;0.0693333333333333;0.00288675134594812;0.077;0.002;0.0943333333333333;0.00721880260923591;0.0846666666666667;0.00952773728530431;0.192555555555556;0.0362619073674557;0.142555555555556;0.0123122943675252;0.0704444444444445;0.00607667062838903;1;1;1;1;1;0.101;0.0866666666666667;0.0953333333333333;0.0956666666666667;0.079;0.0793333333333333;0.166666666666667;0.234;0.177;0.156666666666667;0.137;0.134;0.065;0.0693333333333333;0.077;0.0943333333333333;0.0846666666666667;0.192555555555556;0.142555555555556;0.0704444444444445
;;;;;;;;;0.021;0.016;0.016;1;19/09/2024;8h19;257280;0.383;0.0173493515728975;0.182333333333333;0.00602771377334171;0.198666666666667;0.00208166599946613;0.164666666666667;0.00152752523165195;0.162333333333333;0.00152752523165195;0.261;0.002;0.397666666666667;0.00208166599946613;0.485333333333333;0.00709459888459759;0.497333333333333;0.0070237691685685;0.341333333333333;0.00351188458428422;0.294;0.002;0.266666666666667;0.00251661147842359;0.115;0.001;0.111;0.00173205080756888;0.114666666666667;0.00251661147842359;0.254666666666667;0.111439570071756;0.196;0.056303739761326;0.460111111111111;0.054410306757833;0.300666666666667;0.0377771241773527;0.113555555555556;0.0022194427061598;1;1;1;1;1;0.383;0.182333333333333;0.198666666666667;0.164666666666667;0.162333333333333;0.261;0.397666666666667;0.485333333333333;0.497333333333333;0.341333333333333;0.294;0.266666666666667;0.115;0.111;0.114666666666667;0.254666666666667;0.196;0.460111111111111;0.300666666666667;0.113555555555556
;;;;;;;;mean 1;0.0213333333333333;0.017;0.0143333333333333;1;19/09/2024;16h42;287460;0.636;0.00264575131106459;0.462;0.00519615242270662;0.442;0.001;0.394666666666667;0.219336879403959;0.490666666666667;0.00416333199893227;0.858666666666667;0.00723417813807024;0.678;0.00346410161513776;0.798666666666667;0.00152752523165195;0.907333333333333;0.00208166599946613;0.540666666666667;0.00321455025366432;0.536;0.005;0.512;0.00173205080756888;0.161666666666667;0.00351188458428425;0.162666666666667;0.000577350269189626;0.166333333333333;0.00152752523165195;0.513333333333333;0.106702077455565;0.581333333333333;0.244927200068374;0.794666666666667;0.1147189803147;0.529555555555556;0.0153815666494864;0.163555555555556;0.00245703826527734;2;2;2;2;1;0.318;0.231;0.221;0.197333333333333;0.245333333333333;0.429333333333333;0.339;0.399333333333333;0.453666666666667;0.270333333333333;0.268;0.256;0.161666666666667;0.162666666666667;0.166333333333333;0.256666666666667;0.290666666666667;0.397333333333333;0.264777777777778;0.163555555555556
;;;;;;;;dilution 1;0.0213333333333333;0.017;0.0143333333333333;;20/09/2024;8h18;343620;1.32933333333333;0.00416333199893227;1.972;0.00346410161513776;1.25866666666667;0.00862167810425172;1.20666666666667;0.00208166599946613;1.43866666666667;0.00208166599946613;1.408;0.00871779788708136;0.872;0.001;1.172;0.00346410161513776;1.23866666666667;0.00288675134594813;0.643333333333333;0.00404145188432738;0.655333333333333;0.00321455025366432;0.670666666666667;0.0045092497528229;0.249;0.00346410161513776;0.257666666666667;0.00351188458428425;0.273666666666667;0.00251661147842359;1.52;0.393034915045018;1.35111111111111;0.126028803292181;1.09422222222222;0.195315509236077;0.656444444444444;0.0137005001260429;0.260111111111111;0.0125136962002676;4;4;4;2;1;0.332333333333333;0.493;0.314666666666667;0.301666666666667;0.359666666666667;0.352;0.218;0.293;0.309666666666667;0.321666666666667;0.327666666666667;0.335333333333333;0.249;0.257666666666667;0.273666666666667;0.38;0.337777777777778;0.273555555555556;0.328222222222222;0.260111111111111
