Start;29/11/2025;16h49;End;?;?;Day;Hour;;A;B;C;Dilution;Day;Time (h);Time (s);OD 0A;Std 0A;OD 0B;Std 0B;OD 0C;Std 0C;OD 1A;Std 1A;OD 1B;Std 1B;OD 1C;Std 1C;OD 2A;Std 2A;OD 2B;Std 2B;OD 2C;Std 2C;OD 3A;Std 3A;OD 3B;Std 3B;OD 3C;Std 3C;OD 4A;Std 4A;OD 4B;Std 4B;OD 4C;Std 4C;mean 0;std 0;mean 1;std 1;mean 2;std 2;mean 3;std 3;mean 4;std 4;dilution 0;dilution 1;dilution 2;dilution 3;dilution 4;OD 0A NC;OD 0B NC;OD 0C NC;OD 1A NC;OD 1B NC;OD 1C NC;OD 2A NC;OD 2B NC;OD 2C NC;OD 3A NC;OD 3B NC;OD 3C NC;OD 4A NC;OD 4B NC;OD 4C NC;mean 0 NC;mean 1 NC;mean 2 NC;mean 3 NC;mean 4 NC
;;;;;;29/11/2025;11h50;0;0.02;0.023;0.023;1;29/11/2025;16h49;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0.02;0.025;0.022;1;30/11/2025;11h50;68460;0.0193333333333333;0.00115470053837925;0.024;0.001;0.0233333333333333;0.00152752523165195;0.0206666666666667;0.00152752523165195;0.027;0.00264575131106459;0.026;0.00173205080756888;0.0293333333333333;0.00208166599946613;0.0293333333333333;0.000577350269189624;0.0336666666666667;0.000577350269189626;0.0296666666666667;0.00115470053837925;0.0323333333333333;0.00152752523165195;0.043;0.000999999999999997;0.0296666666666667;0.00115470053837925;0.0296666666666667;0.00152752523165195;0.034;0.002;0.0222222222222222;0.00252395926480012;0.0245555555555556;0.00340478965467657;0.0307777777777778;0.00250185116648838;0.035;0.00705533682950556;0.0311111111111111;0.00250185116648838;1;1;1;1;1;0.0193333333333333;0.024;0.0233333333333333;0.0206666666666667;0.027;0.026;0.0293333333333333;0.0293333333333333;0.0336666666666667;0.0296666666666667;0.0323333333333333;0.043;0.0296666666666667;0.0296666666666667;0.034;0.0222222222222222;0.0245555555555556;0.0307777777777778;0.035;0.0311111111111111
;;;;;;;;;0.018;0.024;0.025;1;30/11/2025;17h41;89520;0.0226666666666667;0.00251661147842358;0.0283333333333333;0.00115470053837925;0.0256666666666667;0.000577350269189624;0.029;0.00264575131106459;0.034;0.001;0.04;0.001;0.0426666666666667;0.00305505046330389;0.0386666666666667;0.00152752523165195;0.0586666666666667;0.00208166599946613;0.052;0.001;0.0643333333333333;0.00208166599946613;0.071;0.00435889894354067;0.0443333333333333;0.00208166599946613;0.041;0;0.053;0.00173205080756888;0.0255555555555556;0.00283496684937179;0.0343333333333333;0.0055075705472861;0.0466666666666667;0.0105830052442584;0.0624444444444444;0.00963980943410839;0.0461111111111111;0.00619438216211838;1;1;1;1;1;0.0226666666666667;0.0283333333333333;0.0256666666666667;0.029;0.034;0.04;0.0426666666666667;0.0386666666666667;0.0586666666666667;0.052;0.0643333333333333;0.071;0.0443333333333333;0.041;0.053;0.0255555555555556;0.0343333333333333;0.0466666666666667;0.0624444444444444;0.0461111111111111
;;;;;;;;mean 0;0.0193333333333333;0.024;0.0233333333333333;1;01/12/2025;8h11;141720;0.077;0.00346410161513776;0.0736666666666667;0.000577350269189626;0.0693333333333333;0.00305505046330389;0.0903333333333333;0.00230940107675851;0.123666666666667;0.00208166599946613;0.121333333333333;0.0030550504633039;0.159;0.00173205080756888;0.145333333333333;0.00513160143944689;0.207;0.00264575131106459;0.150333333333333;0.00152752523165195;0.173;0.001;0.146333333333333;0.00152752523165195;0.113333333333333;0.00152752523165195;0.114333333333333;0.00115470053837925;0.164333333333333;0.00208166599946613;0.0733333333333333;0.00384418753155693;0.111777777777778;0.0186080428648276;0.170444444444444;0.0323871259287688;0.156555555555556;0.0143810574998786;0.130666666666667;0.0291604755333882;1;1;1;1;1;0.077;0.0736666666666667;0.0693333333333333;0.0903333333333333;0.123666666666667;0.121333333333333;0.159;0.145333333333333;0.207;0.150333333333333;0.173;0.146333333333333;0.113333333333333;0.114333333333333;0.164333333333333;0.0733333333333333;0.111777777777778;0.170444444444444;0.156555555555556;0.130666666666667
;;;;;;;;dilution 0;0.0193333333333333;0.024;0.0233333333333333;;01/12/2025;10h44;150900;0.0473333333333333;0.00251661147842359;0.0683333333333333;0.000577350269189626;0.0593333333333333;0.00115470053837925;0.086;0.000999999999999994;0.138666666666667;0.00251661147842357;0.133666666666667;0.000577350269189626;0.154666666666667;0.00115470053837925;0.149666666666667;0.00251661147842359;0.191;0.00360555127546399;0.139;0.00264575131106458;0.176333333333333;0.00288675134594813;0.131333333333333;0.00208166599946613;0.102666666666667;0.00152752523165194;0.121666666666667;0.00115470053837925;0.164666666666667;0.00472581562625261;0.0583333333333333;0.0105356537528527;0.119444444444444;0.0290714318214317;0.165111111111111;0.0225593866478218;0.148888888888889;0.0240747293358116;0.129666666666667;0.0317647603485371;1;1;1;1;1;0.0473333333333333;0.0683333333333333;0.0593333333333333;0.086;0.138666666666667;0.133666666666667;0.154666666666667;0.149666666666667;0.191;0.139;0.176333333333333;0.131333333333333;0.102666666666667;0.121666666666667;0.164666666666667;0.0583333333333333;0.119444444444444;0.165111111111111;0.148888888888889;0.129666666666667
;;;;;;;;1;0.019;0.024;0.027;1;01/12/2025;13h25;160560;0.0543333333333333;0.000577350269189626;0.082;0.001;0.0703333333333333;0.000577350269189618;0.0953333333333333;0.0023094010767585;0.158666666666667;0.00472581562625261;0.147333333333333;0.00251661147842359;0.167333333333333;0.00115470053837925;0.162;0.001;0.212666666666667;0.0030550504633039;0.149333333333333;0.000577350269189626;0.175666666666667;0.00321455025366432;0.137;0.00173205080756888;0.106333333333333;0.000577350269189626;0.109666666666667;0.00251661147842359;0.177;0.001;0.0688888888888889;0.0138897777493352;0.133777777777778;0.0337726604310734;0.180666666666667;0.0278408173570947;0.154;0.0197512306227008;0.131;0.0398720174781484;1;1;1;1;1;0.0543333333333333;0.082;0.0703333333333333;0.0953333333333333;0.158666666666667;0.147333333333333;0.167333333333333;0.162;0.212666666666667;0.149333333333333;0.175666666666667;0.137;0.106333333333333;0.109666666666667;0.177;0.0688888888888889;0.133777777777778;0.180666666666667;0.154;0.131
;;;;;;;;;0.021;0.028;0.027;1;01/12/2025;17h19;174600;0.113666666666667;0.00152752523165195;0.151;0.00953939201416946;0.124666666666667;0.00351188458428425;0.183666666666667;0.00230940107675851;0.232666666666667;0.00416333199893226;0.226333333333333;0.00152752523165195;0.233333333333333;0.0030550504633039;0.224666666666667;0.00152752523165195;0.259;0.00529150262212919;0.209333333333333;0.00416333199893227;0.221;0.00173205080756888;0.191333333333333;0.00251661147842359;0.158333333333333;0.000577350269189626;0.154;0.001;0.237666666666667;0.00251661147842359;0.129777777777778;0.0191842914134726;0.214222222222222;0.0266506896582292;0.239;0.0178543489877894;0.207222222222222;0.0149455802955379;0.183333333333333;0.0471039040608926;1;1;1;1;1;0.113666666666667;0.151;0.124666666666667;0.183666666666667;0.232666666666667;0.226333333333333;0.233333333333333;0.224666666666667;0.259;0.209333333333333;0.221;0.191333333333333;0.158333333333333;0.154;0.237666666666667;0.129777777777778;0.214222222222222;0.239;0.207222222222222;0.183333333333333
;;;;;;;;;0.022;0.029;0.024;1;02/12/2025;8h02;227580;0.187;0.00346410161513776;0.271333333333333;0.00321455025366432;0.262;0;0.270666666666667;0.00251661147842359;0.368333333333333;0.0045092497528229;0.531666666666667;0.00635085296108589;0.275666666666667;0.0030550504633039;0.247;0.0124899959967968;0.304666666666667;0.00321455025366432;0.231333333333333;0.00378593889720019;0.283333333333333;0.00115470053837925;0.201333333333333;0.000577350269189626;0.173666666666667;0.00550757054728609;0.191;0.002;0.292;0.001;0.240111111111111;0.0462317030874957;0.390222222222222;0.13186960450609;0.275777777777778;0.0288334938980757;0.238666666666667;0.0414889543533375;0.218888888888889;0.0639064710106656;1;1;1;1;1;0.187;0.271333333333333;0.262;0.270666666666667;0.368333333333333;0.531666666666667;0.275666666666667;0.247;0.304666666666667;0.231333333333333;0.283333333333333;0.201333333333333;0.173666666666667;0.191;0.292;0.240111111111111;0.390222222222222;0.275777777777778;0.238666666666667;0.218888888888889
;;;;;;;;mean 1;0.0206666666666667;0.027;0.026;1;02/12/2025;13h33;247440;0.271666666666667;0.00230940107675851;0.368666666666667;0.00251661147842359;0.348;0.00458257569495581;0.321333333333333;0.00611010092660779;0.414666666666667;0.00208166599946613;0.660666666666667;0.000577350269189626;0.312666666666667;0.0030550504633039;0.294333333333333;0.00351188458428425;0.333666666666667;0.0030550504633039;0.256;0.00264575131106459;0.301;0.00519615242270664;0.243;0.00173205080756888;0.189666666666667;0.0030550504633039;0.222;0.001;0.314666666666667;0.00208166599946613;0.329444444444444;0.0510928711414958;0.465555555555556;0.175296996657208;0.313555555555556;0.0196817268137319;0.266666666666667;0.0304357246231026;0.242111111111111;0.0648813732329442;1;1;1;1;1;0.271666666666667;0.368666666666667;0.348;0.321333333333333;0.414666666666667;0.660666666666667;0.312666666666667;0.294333333333333;0.333666666666667;0.256;0.301;0.243;0.189666666666667;0.222;0.314666666666667;0.329444444444444;0.465555555555556;0.313555555555556;0.266666666666667;0.242111111111111
;;;;;;;;dilution 1;0.0206666666666667;0.027;0.026;;02/12/2025;16h58;259740;0.3;0.002;0.392;0.00519615242270664;0.395;0.00346410161513776;0.336666666666667;0.00208166599946613;0.447666666666667;0.00503322295684717;0.733;0.001;0.312;0.002;0.305666666666667;0.0070237691685685;0.340333333333333;0.00321455025366429;0.253666666666667;0.000577350269189626;0.309;0.002;0.236;0.001;0.193;0.002;0.233333333333333;0.00115470053837925;0.323666666666667;0.00404145188432738;0.362333333333333;0.0540030863315545;0.505777777777778;0.204457095019233;0.319333333333333;0.0184601673280005;0.266222222222222;0.0380851871661606;0.25;0.0669087272168422;1;1;1;1;1;0.3;0.392;0.395;0.336666666666667;0.447666666666667;0.733;0.312;0.305666666666667;0.340333333333333;0.253666666666667;0.309;0.236;0.193;0.233333333333333;0.323666666666667;0.362333333333333;0.505777777777778;0.319333333333333;0.266222222222222;0.25
