Start;17/02/2025;8h50;End;;;Day;Hour;;A;B;C;Dilution;Day;Time (h);Time (s);OD 0A;Std 0A;OD 0B;Std 0B;OD 0C;Std 0C;OD 1A;Std 1A;OD 1B;Std 1B;OD 1C;Std 1C;OD 2A;Std 2A;OD 2B;Std 2B;OD 2C;Std 2C;OD 3A;Std 3A;OD 3B;Std 3B;OD 3C;Std 3C;OD 4A;Std 4A;OD 4B;Std 4B;OD 4C;Std 4C;mean 0;std 0;mean 1;std 1;mean 2;std 2;mean 3;std 3;mean 4;std 4;dilution 0;dilution 1;dilution 2;dilution 3;dilution 4;OD 0A NC;OD 0B NC;OD 0C NC;OD 1A NC;OD 1B NC;OD 1C NC;OD 2A NC;OD 2B NC;OD 2C NC;OD 3A NC;OD 3B NC;OD 3C NC;OD 4A NC;OD 4B NC;OD 4C NC;mean 0 NC;mean 1 NC;mean 2 NC;mean 3 NC;mean 4 NC
;;;;;;17/02/2025;17h21;0;0.028;0.034;0.03;1;17/02/2025;8h50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0.03;0.032;0.035;1;17/02/2025;17h21;30660;0.03;0.002;0.033;0.001;0.0353333333333333;0.0055075705472861;0.0383333333333333;0.00115470053837925;0.036;0.000999999999999997;0.035;0.000999999999999997;0.0376666666666667;0.000577350269189626;0.0373333333333333;0.000577350269189626;0.0433333333333333;0.00208166599946613;0.037;0.00264575131106459;0.042;0.003;0.0426666666666667;0.00152752523165194;0.04;0.00264575131106459;0.041;0.001;0.0496666666666667;0.000577350269189626;0.0327777777777778;0.00267360209233688;0.0364444444444444;0.00171053381314896;0.0394444444444444;0.00337199797899856;0.0405555555555556;0.00309719108105919;0.0435555555555556;0.00531594387284697;1;1;1;1;1;0.03;0.033;0.0353333333333333;0.0383333333333333;0.036;0.035;0.0376666666666667;0.0373333333333333;0.0433333333333333;0.037;0.042;0.0426666666666667;0.04;0.041;0.0496666666666667;0.0327777777777778;0.0364444444444444;0.0394444444444444;0.0405555555555556;0.0435555555555556
;;;;;;;;;0.032;0.033;0.041;1;18/02/2025;8h28;85080;0.163;0.00264575131106459;0.181333333333333;0.00723417813807024;0.204;0.00721110255092797;0.185;0.00264575131106459;0.17;0.00173205080756888;0.183;0.00360555127546399;0.167;0.001;0.163333333333333;0.00378593889720019;0.176666666666667;0.00404145188432738;0.141;0.00299999999999999;0.152333333333333;0.00251661147842359;0.162;0.00264575131106459;0.141333333333333;0.000577350269189626;0.147333333333333;0.00208166599946613;0.136;0.00699999999999999;0.182777777777778;0.0205381307526954;0.179333333333333;0.00814452781524705;0.169;0.00688799277325727;0.151777777777778;0.0105110171478065;0.141555555555556;0.00566993369874358;1;1;1;1;1;0.163;0.181333333333333;0.204;0.185;0.17;0.183;0.167;0.163333333333333;0.176666666666667;0.141;0.152333333333333;0.162;0.141333333333333;0.147333333333333;0.136;0.182777777777778;0.179333333333333;0.169;0.151777777777778;0.141555555555556
;;;;;;;;mean 0;0.03;0.033;0.0353333333333333;1;18/02/2025;11h03;94380;0.268333333333333;0.0030550504633039;0.265333333333333;0.00230940107675851;0.267;0.00529150262212919;0.194;0.00529150262212919;0.186333333333333;0.00152752523165195;0.186666666666667;0.00416333199893227;0.225333333333333;0.00404145188432738;0.201333333333333;0.00503322295684716;0.2;0.001;0.174;0.00173205080756888;0.203;0.000999999999999987;0.223333333333333;0.00351188458428425;0.186666666666667;0.00251661147842359;0.198333333333333;0.00251661147842359;0.171333333333333;0.00057735026918961;0.266888888888889;0.00150308325094097;0.189;0.00433333333333335;0.208888888888889;0.0142569021620848;0.200111111111111;0.0247932189056542;0.185444444444444;0.0135414316218918;1;1;1;1;1;0.268333333333333;0.265333333333333;0.267;0.194;0.186333333333333;0.186666666666667;0.225333333333333;0.201333333333333;0.2;0.174;0.203;0.223333333333333;0.186666666666667;0.198333333333333;0.171333333333333;0.266888888888889;0.189;0.208888888888889;0.200111111111111;0.185444444444444
;;;;;;;;dilution 0;0.03;0.033;0.0353333333333333;;18/02/2025;13h24;102840;0.267;0.004;0.287666666666667;0.00208166599946613;0.280666666666667;0.00404145188432735;0.215;0.001;0.192;0.00346410161513776;0.206333333333333;0.00378593889720017;0.294333333333333;0.00416333199893227;0.233333333333333;0.00450924975282288;0.29;0.00360555127546399;0.218;0.00264575131106459;0.226666666666667;0.0030550504633039;0.272;0.004;0.220666666666667;0.00351188458428425;0.230333333333333;0.00288675134594813;0.21;0.00721110255092799;0.278444444444444;0.0105110171478065;0.204444444444444;0.011615761960626;0.272555555555555;0.0340364728119928;0.238888888888889;0.0290006385625737;0.220333333333333;0.0101707642015949;1;1;1;1;1;0.267;0.287666666666667;0.280666666666667;0.215;0.192;0.206333333333333;0.294333333333333;0.233333333333333;0.29;0.218;0.226666666666667;0.272;0.220666666666667;0.230333333333333;0.21;0.278444444444444;0.204444444444444;0.272555555555555;0.238888888888889;0.220333333333333
;;;;;;;;1;0.039;0.035;0.035;1;18/02/2025;15h57;112020;0.362666666666667;0.00251661147842359;0.301;0.002;0.339;0.00599999999999998;0.276;0.00529150262212915;0.26;0.00854400374531754;0.214333333333333;0.00152752523165195;0.338;0.00360555127546399;0.319666666666667;0.00585946527708232;0.347;0.00264575131106459;0.275;0.00264575131106459;0.306333333333333;0.00115470053837925;0.325;0.00655743852430201;0.267666666666667;0.00264575131106459;0.295;0.005;0.252;0.001;0.334222222222222;0.0311097221912189;0.250111111111111;0.0320005786984707;0.334888888888889;0.0139297177658787;0.302111111111111;0.0252659923686043;0.271555555555556;0.0217621826247413;1;1;1;1;1;0.362666666666667;0.301;0.339;0.276;0.26;0.214333333333333;0.338;0.319666666666667;0.347;0.275;0.306333333333333;0.325;0.267666666666667;0.295;0.252;0.334222222222222;0.250111111111111;0.334888888888889;0.302111111111111;0.271555555555556
;;;;;;;;;0.037;0.037;0.034;1;19/02/2025;8h22;171120;2.24333333333333;0.00550757054728611;2.675;0.00556776436283003;2.64333333333333;0.00907377172587747;1.81;0.005;2.015;0.00499999999999998;2.305;0.00173205080756888;1.72933333333333;0.00503322295684717;1.85333333333333;0.00585946527708232;1.932;0.00458257569495584;1.19533333333333;0.00351188458428425;1.28333333333333;0.00321455025366432;1.34466666666667;0.00208166599946613;0.832;0.00173205080756888;0.84;0.001;0.732;0.00264575131106459;2.52055555555556;0.240603023286938;2.04333333333333;0.248713355759866;1.83822222222222;0.102174868258803;1.27444444444444;0.0750624431414963;0.801333333333333;0.0601775151807828;5;5;2;2;2;0.448666666666667;0.535;0.528666666666667;0.362;0.403;0.461;0.864666666666667;0.926666666666667;0.966;0.597666666666667;0.641666666666667;0.672333333333333;0.416;0.42;0.366;0.504111111111111;0.408666666666667;0.919111111111111;0.637222222222222;0.400666666666667
;;;;;;;;;0.039;0.036;0.036;1;19/02/2025;11h02;180720;2.89;0.00435889894354068;3.50666666666667;0.00152752523165195;3.99666666666667;0.00838649708360609;2.65;0.00435889894354068;2.63;0.00519615242270664;3.20666666666667;0.00251661147842359;2.03866666666667;0.00503322295684717;2.19466666666667;0.00568624070307733;2.34;0.00458257569495584;1.24533333333333;0.00351188458428425;1.38;0.00199999999999997;1.45866666666667;0.00321455025366432;0.789333333333333;0.00378593889720019;0.806666666666667;0.00404145188432737;0.774666666666667;0.00115470053837925;3.46444444444444;0.554540183228245;2.82888888888889;0.327317944874761;2.19111111111111;0.150698128475194;1.36133333333333;0.107884712128786;0.790222222222222;0.016018507814169;10;10;4;4;4;0.289;0.350666666666667;0.399666666666667;0.265;0.263;0.320666666666667;0.509666666666667;0.548666666666667;0.585;0.311333333333333;0.345;0.364666666666667;0.197333333333333;0.201666666666667;0.193666666666667;0.346444444444444;0.282888888888889;0.547777777777778;0.340333333333333;0.197555555555556
;;;;;;;;mean 1;0.0383333333333333;0.036;0.035;1;19/02/2025;14h31;193260;3.58;0.00360555127546399;4.27666666666667;0.00750555349946514;5.13;0.002;2.80333333333333;0.00450924975282287;3.09333333333333;0.00680685928555405;3.33666666666667;0.00550757054728611;2.41666666666667;0.00472581562625261;2.69333333333333;0.00568624070307733;2.44166666666667;0.110314701347252;1.52133333333333;0.00115470053837925;1.58533333333333;0.0045092497528229;1.63733333333333;0.00152752523165195;0.888;0.001;1.02133333333333;0.00230940107675851;0.856;0.00264575131106459;4.32888888888889;0.776318472258889;3.07777777777778;0.267006727616727;2.51722222222222;0.153028077791602;1.58133333333333;0.0581033561853357;0.921777777777778;0.087689688569874;10;10;5;4;4;0.358;0.427666666666667;0.513;0.280333333333333;0.309333333333333;0.333666666666667;0.483333333333333;0.538666666666667;0.488333333333333;0.380333333333333;0.396333333333333;0.409333333333333;0.222;0.255333333333333;0.214;0.432888888888889;0.307777777777778;0.503444444444444;0.395333333333333;0.230444444444444
;;;;;;;;dilution 1;0.0383333333333333;0.036;0.035;;19/02/2025;16h29;200340;4.15333333333333;0.00416333199893227;5.14333333333333;0.00251661147842359;5.75333333333333;0.0030550504633039;3.16;0.00264575131106459;3.57333333333333;0.00862167810425172;3.85333333333333;0.00493288286231625;2.54;0.00700000000000001;2.77666666666667;0.00680685928555399;2.93666666666667;0.00513160143944689;1.508;0.0062449979983984;1.62266666666667;0.00115470053837922;1.69066666666667;0.00404145188432738;0.896;0;0.901333333333333;0.00208166599946613;0.858666666666667;0.00152752523165195;5.01666666666667;0.807485809988837;3.52888888888889;0.34879687392415;2.75111111111111;0.199564340316415;1.60711111111111;0.092321499442217;0.885333333333333;0.023247461032217;10;10;5;4;4;0.415333333333333;0.514333333333333;0.575333333333333;0.316;0.357333333333333;0.385333333333333;0.508;0.555333333333333;0.587333333333333;0.377;0.405666666666667;0.422666666666667;0.224;0.225333333333333;0.214666666666667;0.501666666666667;0.352888888888889;0.550222222222222;0.401777777777778;0.221333333333333
