Time (hour);C0 = 1 R1;C0 = 1 R2;C0 = 1 R3;C0 = 1 R4;C0 = 1 R5;C0 = 1 R6;C0 = 1 R7;C0 = 1 R8;C0 = 1 R9;C0 = 1 R10;C0 = 1 R11;C0 = 1 R12;C0 = 1 R13;C0 = 1 R14;C0 = 1 R15;C0 = 1 R16;C0 = 1 R17;C0 = 1 R18;C0 = 1 R19;C0 = 1 R20;C0 = 1 R21;C0 = 1 R22;C0 = 1 R23;C0 = 1 R24;C0 = 1/2 R1;C0 = 1/2 R2;C0 = 1/2 R3;C0 = 1/2 R4;C0 = 1/2 R5;C0 = 1/2 R6;C0 = 1/2 R7;C0 = 1/2 R8;C0 = 1/2 R9;C0 = 1/2 R10;C0 = 1/2 R11;C0 = 1/2 R12;C0 = 1/2 R13;C0 = 1/2 R14;C0 = 1/2 R15;C0 = 1/2 R16;C0 = 1/4 R1;C0 = 1/4 R2;C0 = 1/4 R3;C0 = 1/4 R4;C0 = 1/4 R5;C0 = 1/4 R6;C0 = 1/4 R7;C0 = 1/4 R8;C0 = 1/4 R9;C0 = 1/4 R10;C0 = 1/4 R11;C0 = 1/4 R12;C0 = 1/4 R13;C0 = 1/4 R14;C0 = 1/4 R15;C0 = 1/4 R16;C0 = 1/8 R1;C0 = 1/8 R2;C0 = 1/8 R3;C0 = 1/8 R4;C0 = 1/8 R5;C0 = 1/8 R6;C0 = 1/8 R7;C0 = 1/8 R8;C0 = 1/8 R9;C0 = 1/8 R10;C0 = 1/8 R11;C0 = 1/8 R12;C0 = 1/8 R13;C0 = 1/8 R14;C0 = 1/8 R15;C0 = 1/8 R16;C0 = 1/16 R1;C0 = 1/16 R2;C0 = 1/16 R3;C0 = 1/16 R4;C0 = 1/16 R5;C0 = 1/16 R6;C0 = 1/16 R7;C0 = 1/16 R8;C0 = 1/16 R9;C0 = 1/16 R10;C0 = 1/16 R11;C0 = 1/16 R12;C0 = 1/16 R13;C0 = 1/16 R14;C0 = 1/16 R15;C0 = 1/16 R16
7.755277777777778;0.015;0.007;0.008;0.016;0.016;0.019;0.018;0.002;0.011;0.016;0.023;0.011;0.012;0.016;0.027;0.03;0.001;0.014;0.019;0.021;0.025;0.019;0.023;0.006;0.003;0.016;0.022;0.027;0.026;0.021;0.019;0.014;0.008;0.024;0.017;0.011;0.012;0.011;0.028;0.031;0.001;0.021;0.023;0.026;0.03;0.032;0.024;0.015;0.008;0.014;0.014;0.015;0.016;0.021;0.023;0.028;0.002;0.019;0.023;0.022;0.022;0.026;0.025;0.019;0.003;0.013;0.019;0.024;0.03;0.032;0.03;0.02;0.006;0.018;0.02;0.015;0.015;0.019;0.025;0.022;0.004;0.014;0.018;0.027;0.034;0.033;0.025;0.002
22.802777777777777;0.042;0.052;0.042;0.036;0.056;0.059;0.062;0.05;0.028;0.04;0.011;0.007;0.019;0.027;0.048;0.049;0.023;0.046;0.07;0.063;0.073;0.068;0.08;0.081;0.024;0.031;0.033;0.052;0.037;0.04;0.045;0.052;0.014;0.035;0.007;0.001;0.007;0.007;0.035;0.05;0.018;0.038;0.042;0.059;0.056;0.057;0.05;0.057;0.02;0.03;0.018;0.011;0.011;0.025;0.039;0.037;0.021;0.035;0.031;0.016;0.017;0.025;0.036;0.053;0.01;0.023;0.035;0.029;0.025;0.029;0.038;0.036;0.01;0.015;0.011;0.006;0.002;0.006;0.028;0.041;0.006;0.024;0.037;0.055;0.043;0.031;0.037;0.039
26.414166666666667;0.058;0.059;0.052;0.069;0.069;0.061;0.065;0.04;0.06;0.065;0.058;0.061;0.064;0.077;0.085;0.068;0.076;0.105;0.115;0.094;0.106;0.095;0.104;0.096;0.053;0.05;0.064;0.079;0.085;0.069;0.072;0.072;0.054;0.066;0.058;0.055;0.067;0.069;0.083;0.07;0.036;0.05;0.054;0.07;0.068;0.077;0.07;0.068;0.052;0.061;0.061;0.048;0.056;0.066;0.071;0.059;0.028;0.041;0.045;0.045;0.043;0.053;0.048;0.053;0.023;0.044;0.038;0.052;0.054;0.056;0.045;0.042;0.023;0.031;0.035;0.035;0.037;0.044;0.044;0.044;0.035;0.058;0.038;0.07;0.057;0.047;0.042;0.04
28.65361111111111;0.1;0.096;0.081;0.092;0.091;0.093;0.103;0.09;0.09;0.085;0.069;0.064;0.067;0.078;0.108;0.134;0.091;0.111;0.123;0.113;0.122;0.115;0.123;0.136;0.093;0.084;0.085;0.101;0.092;0.085;0.087;0.097;0.068;0.071;0.067;0.061;0.079;0.074;0.099;0.143;0.072;0.079;0.071;0.087;0.084;0.086;0.076;0.09;0.065;0.05;0.047;0.044;0.064;0.065;0.067;0.117;0.06;0.059;0.048;0.041;0.039;0.044;0.047;0.087;0.043;0.03;0.043;0.049;0.046;0.046;0.05;0.094;0.053;0.032;0.03;0.024;0.027;0.03;0.041;0.094;0.027;0.033;0.051;0.071;0.057;0.044;0.056;0.081
31.20916666666667;0.133;0.125;0.11;0.126;0.119;0.125;0.13;0.123;0.122;0.123;0.101;0.099;0.097;0.107;0.136;0.168;0.146;0.152;0.163;0.165;0.17;0.163;0.167;0.173;0.133;0.135;0.128;0.136;0.131;0.127;0.128;0.132;0.112;0.12;0.106;0.102;0.112;0.103;0.141;0.175;0.116;0.117;0.115;0.123;0.11;0.116;0.106;0.125;0.085;0.089;0.086;0.09;0.105;0.107;0.12;0.15;0.084;0.084;0.069;0.058;0.053;0.059;0.065;0.106;0.047;0.059;0.072;0.069;0.065;0.067;0.072;0.106;0.061;0.047;0.046;0.04;0.042;0.039;0.056;0.108;0.045;0.059;0.07;0.093;0.072;0.058;0.08;0.096
47.645833333333336;0.972;0.943;0.917;0.893;0.89;0.856;0.843;0.831;0.864;0.796;0.792;0.72;0.773;0.697;0.753;0.826;0.898;0.978;0.91;0.927;0.956;0.92;0.948;0.946;0.983;0.975;0.895;0.9;0.858;0.765;0.88;0.986;0.888;0.87;0.804;0.74;0.644;0.684;0.662;0.868;0.805;0.628;0.642;0.608;0.604;0.649;0.639;0.672;0.596;0.602;0.561;0.557;0.529;0.539;0.553;0.591;0.399;0.376;0.384;0.386;0.36;0.41;0.439;0.411;0.349;0.378;0.35;0.335;0.345;0.327;0.351;0.362;0.178;0.199;0.188;0.204;0.218;0.212;0.251;0.27;0.231;0.228;0.228;0.231;0.227;0.201;0.217;0.245
50.39527777777778;1.071;1.027;0.996;0.988;0.979;0.956;0.948;0.96;1.026;0.964;0.967;0.876;0.913;0.838;0.884;0.935;1.058;1.154;1.036;1.051;1.048;1.042;1.408;1.121;1.07;1.041;1.0;0.984;0.938;0.894;0.976;1.061;1.015;0.981;0.936;0.878;0.804;0.846;0.805;0.983;0.901;0.645;0.656;0.6;0.604;0.627;0.63;0.638;0.638;0.632;0.583;0.58;0.576;0.551;0.586;0.627;0.484;0.399;0.4;0.38;0.375;0.398;0.396;0.377;0.362;0.402;0.374;0.362;0.357;0.347;0.369;0.381;0.227;0.214;0.214;0.219;0.23;0.221;0.243;0.259;0.245;0.241;0.244;0.246;0.241;0.239;0.25;0.255
53.77861111111111;1.205;1.163;1.167;1.132;1.117;1.108;1.104;1.161;1.212;1.125;1.135;1.057;1.12;1.021;1.043;1.15;1.223;1.632;1.24;1.219;1.401;1.205;1.666;1.261;1.178;1.108;1.067;1.067;0.994;0.933;1.029;1.186;1.102;1.068;1.024;0.946;0.815;0.87;0.767;1.065;1.02;0.702;0.688;0.624;0.625;0.631;0.612;0.641;0.684;0.638;0.586;0.584;0.586;0.532;0.585;0.638;0.627;0.423;0.406;0.362;0.362;0.375;0.383;0.39;0.372;0.41;0.374;0.373;0.372;0.377;0.363;0.4;0.268;0.226;0.228;0.237;0.232;0.237;0.262;0.272;0.249;0.258;0.253;0.251;0.25;0.249;0.258;0.257
55.71083333333333;1.306;1.242;1.241;1.214;1.195;1.195;1.203;1.221;1.294;1.205;1.232;1.143;1.276;1.125;1.132;1.227;1.314;1.792;1.402;1.291;1.612;1.273;1.754;1.323;1.212;1.131;1.083;1.086;0.999;0.944;1.044;1.214;1.142;1.099;1.05;0.979;0.823;0.914;0.802;1.091;1.072;0.709;0.695;0.625;0.636;0.629;0.605;0.642;0.705;0.64;0.602;0.595;0.601;0.553;0.59;0.633;0.741;0.445;0.417;0.354;0.356;0.372;0.366;0.386;0.399;0.428;0.382;0.379;0.391;0.38;0.355;0.39;0.265;0.225;0.228;0.237;0.243;0.241;0.253;0.273;0.24;0.256;0.246;0.256;0.256;0.245;0.251;0.252
70.8938888888889;1.657;1.588;1.606;1.579;1.582;1.571;1.615;1.576;1.598;1.555;1.577;1.526;1.712;1.548;1.579;1.592;1.579;1.906;1.912;1.635;2.001;1.647;1.931;1.617;1.415;1.177;1.081;1.12;1.022;1.002;1.171;1.347;1.233;1.144;1.113;1.032;0.825;0.976;0.833;1.234;1.285;0.752;0.732;0.68;0.706;0.71;0.689;0.745;0.716;0.679;0.663;0.656;0.618;0.613;0.643;0.636;1.18;0.482;0.414;0.328;0.399;0.351;0.386;0.391;0.469;0.476;0.41;0.376;0.373;0.361;0.253;0.207;0.595;0.188;0.214;0.239;0.246;0.271;0.276;0.306;0.253;0.245;0.239;0.235;0.309;0.271;0.29;0.234
