Time (hour);C0 = 1 R1;C0 = 1 R2;C0 = 1 R3;C0 = 1 R4;C0 = 1 R5;C0 = 1 R6;C0 = 1 R7;C0 = 1 R8;C0 = 1 R9;C0 = 1 R10;C0 = 1 R11;C0 = 1 R12;C0 = 1 R13;C0 = 1 R14;C0 = 1 R15;C0 = 1 R16;C0 = 1 R17;C0 = 1 R18;C0 = 1 R19;C0 = 1 R20;C0 = 1 R21;C0 = 1 R22;C0 = 1 R23;C0 = 1 R24;C0 = 1/2 R1;C0 = 1/2 R2;C0 = 1/2 R3;C0 = 1/2 R4;C0 = 1/2 R5;C0 = 1/2 R6;C0 = 1/2 R7;C0 = 1/2 R8;C0 = 1/2 R9;C0 = 1/2 R10;C0 = 1/2 R11;C0 = 1/2 R12;C0 = 1/2 R13;C0 = 1/2 R14;C0 = 1/2 R15;C0 = 1/2 R16;C0 = 1/4 R1;C0 = 1/4 R2;C0 = 1/4 R3;C0 = 1/4 R4;C0 = 1/4 R5;C0 = 1/4 R6;C0 = 1/4 R7;C0 = 1/4 R8;C0 = 1/4 R9;C0 = 1/4 R10;C0 = 1/4 R11;C0 = 1/4 R12;C0 = 1/4 R13;C0 = 1/4 R14;C0 = 1/4 R15;C0 = 1/4 R16;C0 = 1/8 R1;C0 = 1/8 R2;C0 = 1/8 R3;C0 = 1/8 R4;C0 = 1/8 R5;C0 = 1/8 R6;C0 = 1/8 R7;C0 = 1/8 R8;C0 = 1/8 R9;C0 = 1/8 R10;C0 = 1/8 R11;C0 = 1/8 R12;C0 = 1/8 R13;C0 = 1/8 R14;C0 = 1/8 R15;C0 = 1/8 R16;C0 = 1/16 R1;C0 = 1/16 R2;C0 = 1/16 R3;C0 = 1/16 R4;C0 = 1/16 R5;C0 = 1/16 R6;C0 = 1/16 R7;C0 = 1/16 R8;C0 = 1/16 R9;C0 = 1/16 R10;C0 = 1/16 R11;C0 = 1/16 R12;C0 = 1/16 R13;C0 = 1/16 R14;C0 = 1/16 R15;C0 = 1/16 R16
12.355555555555556;0.0026168224299065;0.0105263157894736;0.0115876598946576;0.0084084084084084;0.026615969581749;0.0094665664913598;0.0115876598946576;0.0078799249530956;0.0036662925551814;0.0084084084084084;0.0005225830533781;-0.0046857567869096;-0.0020864381520119;0.0005225830533781;0.0126506024096385;0.0084084084084084;0.0;0.0031413612565445;0.0068241469816272;0.0099962420142803;0.0153149754809505;0.0153149754809505;0.0105263157894736;0.0057699512926189;0.008;0.013;0.027;0.076;0.113;0.079;0.025;0.012;0.008;0.01;0.002;-0.004;-0.005;-0.001;0.022;0.012;0.01;0.015;0.021;0.026;0.046;0.12;0.045;0.01;0.01;0.011;0.003;-0.002;0.006;0.012;0.019;0.011;0.011;0.008;0.014;0.024;0.049;0.066;0.029;0.014;-0.002;0.008;0.013;0.008;0.018;0.02;0.018;0.012;0.005;0.004;0.001;0.01;0.013;0.009;0.025;0.016;0.01;0.002;0.014;0.021;0.027;0.017;0.021;0.01
14.994166666666668;0.0015689204333208;0.0068241469816272;0.0078799249530956;0.0078799249530956;0.0174537211938043;0.0084084084084084;0.0073518379594898;0.0057699512926189;0.0020926756352765;0.0052434456928838;0.0010455563853622;-0.001565411852404;0.0015689204333208;0.0031413612565445;0.0105263157894736;0.0068241469816272;-0.0;-0.0005221932114882;0.0062968515742128;0.0084084084084084;0.013715146948003;0.0115876598946576;0.0094665664913598;0.0073518379594898;0.005;0.008;0.022;0.051;0.065;0.049;0.024;0.014;0.009;0.011;0.004;0.005;0.006;0.008;0.021;0.012;0.006;0.012;0.017;0.022;0.033;0.075;0.029;0.01;0.008;0.011;0.006;0.005;0.01;0.013;0.015;0.015;0.013;0.008;0.012;0.016;0.034;0.042;0.021;0.021;-0.0;0.011;0.011;0.01;0.017;0.017;0.017;0.015;0.012;0.004;0.003;0.008;0.011;0.007;0.019;0.042;0.0;0.001;0.012;0.016;0.023;0.014;0.018;0.01
16.964444444444446;-0.0010439970171513;0.0078799249530956;0.0094665664913598;0.0089372887720615;0.0163835409588523;0.0099962420142803;0.0084084084084084;0.0073518379594898;0.004191616766467;0.0099962420142803;0.0052434456928838;0.0005225830533781;0.0047173343317109;0.0068241469816272;0.0121189311253293;0.0094665664913598;0.0020926756352765;0.0036662925551814;0.0099962420142803;0.0105263157894736;0.0153149754809505;0.0126506024096385;0.0110567882662655;0.0073518379594898;0.009;0.015;0.029;0.048;0.057;0.045;0.028;0.019;0.013;0.016;0.017;0.012;0.013;0.014;0.025;0.017;0.01;0.018;0.022;0.025;0.034;0.06;0.03;0.015;0.011;0.015;0.012;0.012;0.014;0.017;0.017;0.017;0.013;0.012;0.018;0.02;0.035;0.035;0.022;0.018;0.007;0.01;0.013;0.015;0.018;0.016;0.015;0.015;0.008;0.009;0.009;0.014;0.013;0.009;0.019;0.043;0.001;0.004;0.016;0.019;0.023;0.016;0.017;0.01
21.74944444444445;0.0047173343317109;0.0099962420142803;0.0105263157894736;0.0105263157894736;0.0158490566037735;0.0147812971342383;0.0105263157894736;0.0068241469816272;0.0068241469816272;0.025531914893617;0.0239089184060721;0.0078799249530956;0.0115876598946576;0.0121189311253293;0.0174537211938043;0.0163835409588523;0.013715146948003;0.0073518379594898;0.0099962420142803;0.013715146948003;0.0386503067484662;0.0326078655975563;0.0331550802139037;0.0174537211938043;0.01;0.032;0.048;0.055;0.065;0.059;0.037;0.026;0.018;0.023;0.02;0.03;0.022;0.039;0.044;0.044;0.019;0.035;0.059;0.048;0.055;0.068;0.047;0.031;0.016;0.023;0.035;0.026;0.03;0.024;0.022;0.034;0.018;0.025;0.028;0.034;0.045;0.036;0.031;0.027;0.008;0.021;0.021;0.029;0.037;0.034;0.03;0.028;0.013;0.022;0.018;0.023;0.018;0.021;0.024;0.048;0.011;0.014;0.024;0.024;0.033;0.023;0.023;0.017
36.33611111111111;0.1804549283909014;0.213763440860215;0.1938827527612574;0.1738255033557046;0.2242424242424242;0.252863436123348;0.2082297471067295;0.2263545730385782;0.1784602440050483;0.1758084838303233;0.1945601359966;0.1979557069846677;0.1972754363558961;0.2096096096096095;0.2327241079199303;0.2616474756421612;0.1568464730290456;0.1568464730290456;0.1718475073313782;0.2579761378700839;0.227059843885516;0.1911789652247667;0.2061643835616437;0.1679063936481403;0.351;0.509;0.364;0.421;0.375;0.412;0.397;0.361;0.484;0.483;0.476;0.479;0.556;0.555;0.541;0.349;0.285;0.299;0.358;0.352;0.291;0.297;0.343;0.432;0.42;0.462;0.418;0.517;0.454;0.405;0.383;0.384;0.194;0.263;0.21;0.234;0.249;0.259;0.213;0.219;0.161;0.247;0.255;0.278;0.272;0.244;0.215;0.185;0.075;0.102;0.084;0.09;0.083;0.074;0.074;0.108;0.081;0.058;0.092;0.1;0.089;0.08;0.069;0.087
39.21694444444445;0.1659432387312186;0.1884843353090601;0.1844594594594594;0.1594347464671654;0.1891571368064379;0.2096096096096095;0.2193353474320241;0.2690391459074733;0.1758084838303233;0.1837906289573659;0.1581395348837209;0.1731656184486373;0.1791245791245791;0.1594347464671654;0.1679063936481403;0.3656470588235294;0.187140439932318;0.227059843885516;0.2130696474634565;0.3116788321167882;0.2962025316455696;0.2572438162544169;0.3195233730522455;0.2441717791411043;0.343;0.52;0.296;0.409;0.327;0.358;0.398;0.434;0.49;0.463;0.547;0.557;0.638;0.641;0.563;0.376;0.316;0.353;0.382;0.345;0.317;0.346;0.376;0.428;0.372;0.415;0.382;0.475;0.388;0.37;0.304;0.367;0.23;0.224;0.215;0.251;0.238;0.253;0.246;0.255;0.243;0.251;0.256;0.278;0.253;0.243;0.21;0.237;0.107;0.105;0.085;0.093;0.087;0.074;0.077;0.105;0.085;0.059;0.08;0.089;0.08;0.08;0.076;0.07
41.80888888888889;0.2130696474634565;0.227059843885516;0.2256499133448873;0.2041043180846515;0.2165445928479103;0.2391437308868501;0.2214347450302506;0.2779964221824686;0.1911789652247667;0.2103004291845493;0.2061643835616437;0.1932059447983014;0.2398601398601398;0.1804549283909014;0.1685618729096989;0.4329262335124572;0.1932059447983014;0.2441717791411043;0.2130696474634565;0.3306273062730627;0.2939051918735891;0.258709106984969;0.3540906965871902;0.2720142602495543;0.382;0.612;0.365;0.473;0.362;0.374;0.443;0.432;0.499;0.503;0.638;0.644;0.736;0.737;0.647;0.407;0.297;0.378;0.332;0.286;0.27;0.293;0.317;0.385;0.32;0.389;0.352;0.459;0.362;0.317;0.286;0.316;0.275;0.284;0.261;0.269;0.302;0.271;0.293;0.246;0.242;0.312;0.291;0.324;0.3;0.271;0.241;0.262;0.099;0.122;0.111;0.119;0.115;0.101;0.107;0.145;0.089;0.091;0.107;0.116;0.109;0.108;0.096;0.089
45.614444444444445;0.2434515987735435;0.3203117835855112;0.300045310376076;0.2893291310220621;0.2878092667566351;0.2969696969696969;0.2810035842293906;0.3434944237918215;0.2427320490367775;0.3039055404178019;0.2832660385823239;0.2977375565610859;0.4099372889532078;0.2992753623188405;0.2992753623188405;0.5643979057591622;0.2840215439856373;0.3443049744304974;0.3203117835855112;0.4329262335124572;0.4195926285160038;0.3781990521327013;0.4611111111111111;0.3832699619771862;0.438;0.635;0.433;0.546;0.431;0.49;0.558;0.542;0.566;0.582;0.763;0.765;0.874;0.86;0.759;0.537;0.326;0.349;0.326;0.316;0.287;0.321;0.325;0.399;0.381;0.465;0.427;0.561;0.445;0.413;0.371;0.338;0.31;0.288;0.305;0.32;0.369;0.374;0.358;0.38;0.352;0.368;0.365;0.366;0.355;0.345;0.3;0.341;0.152;0.139;0.144;0.153;0.151;0.137;0.14;0.172;0.177;0.133;0.144;0.14;0.15;0.129;0.12;0.139
60.43694444444444;0.8670694864048336;0.9882877148313176;0.98676844783715;0.9671924290220818;0.9913320586360738;0.945;0.9261004339739614;0.9807106598984772;0.8780813600485728;1.005128205128205;0.9701831964624128;0.9731815306767868;1.2954022988505745;1.017525773195876;0.9523510971786832;1.3527512839325015;0.8990196078431373;1.0411190631099545;1.006670942912123;1.168104038329911;1.1198119543317662;1.0619422572178474;1.1875862068965517;1.0458930899608865;0.817;0.921;0.647;0.838;0.684;0.744;0.847;0.867;0.988;0.965;1.14;1.146;1.263;1.247;1.119;0.838;0.329;0.385;0.373;0.332;0.319;0.336;0.453;0.5;0.55;0.615;0.562;0.724;0.559;0.541;0.483;0.508;0.327;0.335;0.305;0.301;0.325;0.347;0.313;0.371;0.328;0.376;0.348;0.361;0.349;0.362;0.344;0.384;0.236;0.191;0.221;0.23;0.248;0.256;0.273;0.294;0.246;0.236;0.238;0.231;0.239;0.245;0.249;0.268
63.10055555555556;0.9435352904434728;1.065177398160315;1.0522875816993462;1.044299674267101;1.0571054354944334;0.9989769820971868;0.9852511125238396;1.050685826257348;0.95678391959799;1.0913678618857898;1.044299674267101;1.0522875816993462;1.5312499999999996;1.0913678618857898;1.017525773195876;1.4295625942684764;0.979201014584654;1.1215053763440856;1.0864148442677268;1.2497175141242935;1.1965397923875432;1.1454545454545453;1.274269422665716;1.12320107599193;0.859;0.959;0.678;0.873;0.709;0.773;0.879;0.914;1.029;1.007;1.177;1.187;1.299;1.282;1.164;0.871;0.325;0.373;0.366;0.327;0.313;0.322;0.455;0.521;0.557;0.625;0.566;0.733;0.561;0.55;0.498;0.522;0.363;0.332;0.328;0.319;0.335;0.35;0.298;0.355;0.344;0.365;0.354;0.354;0.343;0.36;0.331;0.375;0.232;0.186;0.209;0.218;0.236;0.237;0.253;0.279;0.231;0.228;0.241;0.227;0.234;0.228;0.249;0.253
