Time (hour);C0 = 1 R1;C0 = 1 R2;C0 = 1 R3;C0 = 1 R4;C0 = 1 R5;C0 = 1 R6;C0 = 1 R7;C0 = 1 R8;C0 = 1 R9;C0 = 1 R10;C0 = 1 R11;C0 = 1 R12;C0 = 1 R13;C0 = 1 R14;C0 = 1 R15;C0 = 1 R16;C0 = 1 R17;C0 = 1 R18;C0 = 1 R19;C0 = 1 R20;C0 = 1 R21;C0 = 1 R22;C0 = 1 R23;C0 = 1 R24;C0 = 1/2 R1;C0 = 1/2 R2;C0 = 1/2 R3;C0 = 1/2 R4;C0 = 1/2 R5;C0 = 1/2 R6;C0 = 1/2 R7;C0 = 1/2 R8;C0 = 1/2 R9;C0 = 1/2 R10;C0 = 1/2 R11;C0 = 1/2 R12;C0 = 1/2 R13;C0 = 1/2 R14;C0 = 1/2 R15;C0 = 1/2 R16;C0 = 1/4 R1;C0 = 1/4 R2;C0 = 1/4 R3;C0 = 1/4 R4;C0 = 1/4 R5;C0 = 1/4 R6;C0 = 1/4 R7;C0 = 1/4 R8;C0 = 1/4 R9;C0 = 1/4 R10;C0 = 1/4 R11;C0 = 1/4 R12;C0 = 1/4 R13;C0 = 1/4 R14;C0 = 1/4 R15;C0 = 1/4 R16;C0 = 1/8 R1;C0 = 1/8 R2;C0 = 1/8 R3;C0 = 1/8 R4;C0 = 1/8 R5;C0 = 1/8 R6;C0 = 1/8 R7;C0 = 1/8 R8;C0 = 1/8 R9;C0 = 1/8 R10;C0 = 1/8 R11;C0 = 1/8 R12;C0 = 1/8 R13;C0 = 1/8 R14;C0 = 1/8 R15;C0 = 1/8 R16;C0 = 1/16 R1;C0 = 1/16 R2;C0 = 1/16 R3;C0 = 1/16 R4;C0 = 1/16 R5;C0 = 1/16 R6;C0 = 1/16 R7;C0 = 1/16 R8;C0 = 1/16 R9;C0 = 1/16 R10;C0 = 1/16 R11;C0 = 1/16 R12;C0 = 1/16 R13;C0 = 1/16 R14;C0 = 1/16 R15;C0 = 1/16 R16
7.75527777777777;0.0078799249530956;0.0036662925551814;0.004191616766467;0.0084084084084084;0.0084084084084084;0.0099962420142803;0.0094665664913598;0.0010455563853622;0.0057699512926189;;0.0121189311253293;0.0057699512926189;;0.0084084084084084;0.0142480211081794;0.0158490566037735;0.0005225830533781;;;0.0110567882662655;;0.0099962420142803;;0.0031413612565445;;;0.022;0.027;0.026;0.021;0.019;;;0.0126506024096385;0.017;0.011;;0.011;;;0.001;;0.023;0.026;0.03;0.032;0.024;0.015;0.008;0.014;0.014;0.015;0.016;0.021;0.023;;;;0.023;0.022;0.022;0.026;0.025;0.019;;0.013;0.019;0.024;0.03;0.032;;;;;0.02;0.015;0.015;0.019;0.025;0.022;;0.014;0.018;;0.034;0.033;0.025;0.002
22.8027777777777;0.0222896133434419;0.0277016742770167;0.0222896133434419;0.0190620272314674;0.0298780487804878;0.0315146890499809;0.0331550802139037;0.026615969581749;0.0147812971342383;;0.0057699512926189;0.0036662925551814;;0.0142480211081794;0.025531914893617;0.0260737362219688;0.0121189311253293;;;0.0337027130301872;;0.0364471669218989;;0.043632166217776;;;0.033;0.052;0.037;0.04;0.045;;;0.0185255198487712;0.007;0.001;;0.007;;;0.018;;0.042;0.059;0.056;0.057;0.05;0.057;0.02;0.03;0.018;0.011;0.011;0.025;0.039;;;;0.031;0.016;0.017;0.025;0.036;0.053;;0.023;0.035;0.029;0.025;0.029;;;;;0.011;0.006;0.002;0.006;0.028;0.041;;0.024;0.037;;0.043;0.031;0.037;0.039
26.4141666666666;0.0309687261632341;0.0315146890499809;0.0277016742770167;0.0369973190348525;0.0369973190348525;0.0326078655975563;0.0347992351816443;0.0212121212121212;0.03206106870229;;0.0309687261632341;0.0326078655975563;;0.0414137533615059;0.0458574181117533;0.0364471669218989;0.0408602150537634;;;0.0508894044856921;;0.0514506769825918;;0.0520123839009287;;;0.064;0.079;0.085;0.069;0.072;;;0.0353481254781943;0.058;0.055;;0.069;;;0.036;;0.054;0.07;0.068;0.077;0.07;0.068;0.052;0.061;0.061;0.048;0.056;0.066;0.071;;;;0.045;0.045;0.043;0.053;0.048;0.053;;0.044;0.038;0.052;0.054;0.056;;;;;0.035;0.035;0.037;0.044;0.044;0.044;;0.058;0.038;;0.057;0.047;0.042;0.04
28.6536111111111;0.0542635658914728;0.0520123839009287;0.043632166217776;0.0497681607418856;0.0492081884897643;0.0503285659064553;0.0559565386107877;0.0486486486486486;0.0486486486486486;;0.0369973190348525;0.0342507645259938;;0.041967717140661;0.0587869362363919;0.0736842105263157;0.0492081884897643;;;0.0616283599532528;;0.0627680311890838;;0.0748427672955975;;;0.085;0.101;0.092;0.085;0.087;;;0.0380988884630126;0.067;0.061;;0.074;;;0.072;;0.071;0.087;0.084;0.086;0.076;0.09;0.065;0.05;0.047;0.044;0.064;0.065;0.067;;;;0.048;0.041;0.039;0.044;0.047;0.087;;0.03;0.043;0.049;0.046;0.046;;;;;0.03;0.024;0.027;0.03;0.041;0.094;;0.033;0.051;;0.057;0.044;0.056;0.081
31.2091666666666;0.0731056144483706;0.0684931506849315;0.0599221789883268;0.0690681284259984;0.0650527137836782;0.0684931506849315;0.0713725490196078;0.0673445443879546;0.0667709147771696;;0.0548274525009693;0.0537001162340178;;0.0582199766809172;0.0748427672955975;0.0936305732484076;0.0806629834254143;;;0.0918489065606361;;0.090663488279698;;0.0966094934184283;;;0.128;0.136;0.131;0.127;0.128;;;0.0656249999999999;0.106;0.102;;0.103;;;0.116;;0.115;0.123;0.11;0.116;0.106;0.125;0.085;0.089;0.086;0.09;0.105;0.107;0.12;;;;0.069;0.058;0.053;0.059;0.065;0.106;;0.059;0.072;0.069;0.065;0.067;;;;;0.046;0.04;0.042;0.039;0.056;0.108;;0.059;0.07;;0.072;0.058;0.08;0.096
47.6458333333333;0.796721311475409;0.760046056419113;0.728190584231423;0.699608282036933;0.69608938547486;0.657017543859649;0.642460533478497;0.62920497566252;0.666079295154185;;0.58728813559322;0.514285714285714;;0.492082702975289;0.547067981318111;0.623732470334412;0.705499438832772;;;0.74033086138049;;0.731818181818181;;0.763783160322952;;;0.895;0.9;0.858;0.765;0.88;;;0.67292817679558;0.804;0.74;;0.684;;;;;0.642;0.608;0.604;0.649;0.639;0.672;0.596;0.602;0.561;0.557;0.529;0.539;0.553;;;;0.384;;;;;;;0.378;0.35;0.335;0.345;0.327;;;;;0.188;0.204;0.218;0.212;0.251;0.27;;0.228;0.228;;0.227;0.201;0.217;0.245
50.3952777777777;0.931883157240521;0.869812462189957;0.828028503562945;0.817494089834515;0.805761316872427;0.776334106728538;0.766281755196304;0.781395348837209;0.868440145102781;;0.790309398715703;0.679822616407982;;0.636916395222584;0.689086859688195;0.750143266475644;0.913193588162762;;;0.903253529772866;;0.89059829059829;;1.00667094291212;;;1;0.984;0.938;0.894;0.976;;;0.808357857563272;0.936;0.878;;0.846;;;;;0.656;0.6;0.604;0.627;0.63;0.638;0.638;0.632;0.583;0.58;0.576;0.551;0.586;;;;0.4;;;;;;;0.402;0.374;0.362;0.357;0.347;;;;;0.214;0.219;0.23;0.221;0.243;0.259;;0.241;0.244;;0.241;0.239;0.25;0.255
53.7786111111111;1.14372881355932;1.07330257086354;1.07984137475214;1.02377260981912;1.00051183621241;0.98676844783715;0.980710659898477;1.0700460829493;1.1558583106267;;1.02847896440129;0.911768330252618;;0.861603375527425;0.891997556505803;1.05228758169934;1.17515442690459;;;1.16810403832991;;1.14372881355932;;1.24411557434813;;;1.067;1.067;0.994;0.933;1.029;;;0.927543424317617;1.024;0.946;;0.87;;;;;0.688;0.624;0.625;0.631;0.612;0.641;0.684;0.638;0.586;0.584;0.586;0.532;0.585;;;;0.406;;;;;;;0.41;0.374;0.373;0.372;0.377;;;;;0.228;0.237;0.232;0.237;0.262;0.272;;0.258;0.253;;0.25;0.249;0.258;0.257
55.7108333333333;1.33071324599708;1.20917941585535;1.20736622654621;1.15934515688949;1.12659932659932;1.12659932659932;1.14028436018957;1.17162440027416;1.3070707070707;;1.19116022099447;1.04111906310995;;1.0128617363344;1.02377260981912;1.18224363386097;1.34670571010248;;;1.30122390208783;;1.26666666666666;;1.36492262343404;;;1.083;1.086;0.999;0.944;1.044;;;0.973181530676786;1.05;0.979;;0.914;;;;;0.695;0.625;0.636;0.629;0.605;0.642;0.705;0.64;0.602;0.595;0.601;0.553;0.59;;;;0.417;;;;;;;0.428;0.382;0.379;0.391;0.38;;;;;0.228;0.237;0.243;0.241;0.253;0.273;;0.256;0.246;;0.256;0.245;0.251;0.252
70.8938888888889;2.26764418377321;2.03589743589743;2.09348230912476;2.0078110808356;2.01712204007285;1.98322813345356;2.12300469483568;1.99855072463768;2.06765249537892;;2.00163191296464;1.85129982668977;;1.91448763250883;2.0078110808356;2.0485294117647;2.0078110808356;;;2.19043062200956;;2.23213939980638;;2.12963311382878;;;1.081;1.12;1.022;1.002;1.171;;;1.04270833333333;1.113;1.032;;0.976;;;;;0.732;0.68;0.706;0.71;0.689;0.745;0.716;0.679;0.663;0.656;0.618;0.613;0.643;;;;0.414;0.328;0.399;0.351;0.386;0.391;;0.476;0.41;0.376;0.373;0.361;;;;;;0.239;0.246;0.271;0.276;0.306;;0.245;0.239;;0.309;0.271;0.29;0.234
