Time (hour);C0 = 1 R1;C0 = 1 R2;C0 = 1 R3;C0 = 1 R4;C0 = 1 R5;C0 = 1 R6;C0 = 1 R7;C0 = 1 R8;C0 = 1 R9;C0 = 1 R10;C0 = 1 R11;C0 = 1 R12;C0 = 1 R13;C0 = 1 R14;C0 = 1 R15;C0 = 1 R16;C0 = 1 R17;C0 = 1 R18;C0 = 1 R19;C0 = 1 R20;C0 = 1 R21;C0 = 1 R22;C0 = 1 R23;C0 = 1 R24;C0 = 1/2 R1;C0 = 1/2 R2;C0 = 1/2 R3;C0 = 1/2 R4;C0 = 1/2 R5;C0 = 1/2 R6;C0 = 1/2 R7;C0 = 1/2 R8;C0 = 1/2 R9;C0 = 1/2 R10;C0 = 1/2 R11;C0 = 1/2 R12;C0 = 1/2 R13;C0 = 1/2 R14;C0 = 1/2 R15;C0 = 1/2 R16;C0 = 1/4 R1;C0 = 1/4 R2;C0 = 1/4 R3;C0 = 1/4 R4;C0 = 1/4 R5;C0 = 1/4 R6;C0 = 1/4 R7;C0 = 1/4 R8;C0 = 1/4 R9;C0 = 1/4 R10;C0 = 1/4 R11;C0 = 1/4 R12;C0 = 1/4 R13;C0 = 1/4 R14;C0 = 1/4 R15;C0 = 1/4 R16;C0 = 1/8 R1;C0 = 1/8 R2;C0 = 1/8 R3;C0 = 1/8 R4;C0 = 1/8 R5;C0 = 1/8 R6;C0 = 1/8 R7;C0 = 1/8 R8;C0 = 1/8 R9;C0 = 1/8 R10;C0 = 1/8 R11;C0 = 1/8 R12;C0 = 1/8 R13;C0 = 1/8 R14;C0 = 1/8 R15;C0 = 1/8 R16;C0 = 1/16 R1;C0 = 1/16 R2;C0 = 1/16 R3;C0 = 1/16 R4;C0 = 1/16 R5;C0 = 1/16 R6;C0 = 1/16 R7;C0 = 1/16 R8;C0 = 1/16 R9;C0 = 1/16 R10;C0 = 1/16 R11;C0 = 1/16 R12;C0 = 1/16 R13;C0 = 1/16 R14;C0 = 1/16 R15;C0 = 1/16 R16
12.4144444444444;0.0010455563853622;0.004191616766467;0.0047173343317109;0.0073518379594898;0.0073518379594898;0.0062968515742128;0.0084084084084084;0.0031413612565445;0.0020926756352765;0.013715146948003;0.0052434456928838;0.0078799249530956;0.0078799249530956;0.0073518379594898;0.0185255198487712;0.0153149754809505;;0.0005225830533781;0.0052434456928838;0.0062968515742128;0.0078799249530956;0.0068241469816272;0.0115876598946576;0.0015689204333208;0.0036662925551814;0.013;0.02;0.0147812971342383;0.03;0.0115876598946576;0.02;0.013;0.005;0.0174537211938043;0.0062968515742128;0.0052434456928838;0.0078799249530956;0.0084084084084084;0.0174537211938043;0.0174537211938043;0.006;0.014;0.02;0.027;0.023;0.025;0.035;0.019;0.009;0.028;0.02;0.019;0.02;0.024;0.03;0.031;0.007;0.018;0.019;0.021;0.031;0.025;0.032;0.025;0.002;0.02;0.007;0.016;0.025;0.025;0.03;0.023;0.004;0.021;0.011;0.015;0.019;0.012;0.034;0.031;0.001;0.015;0.012;0.012;0.021;0.027;0.014;0.007
15.0655555555555;0.0005225830533781;0.0026168224299065;0.004191616766467;0.0073518379594898;0.0073518379594898;0.0057699512926189;0.0078799249530956;0.0026168224299065;0.0015689204333208;0.0158490566037735;0.0057699512926189;0.0089372887720615;0.0094665664913598;0.0105263157894736;0.0228289723170269;0.0153149754809505;;0.0005225830533781;0.0062968515742128;0.0084084084084084;0.0089372887720615;0.0094665664913598;0.0131826741996233;0.0094665664913598;0.004191616766467;0.014;0.021;0.0158490566037735;0.034;0.0131826741996233;0.024;0.016;0.006;0.0201362604087812;0.0068241469816272;0.0057699512926189;0.0089372887720615;0.0110567882662655;0.0190620272314674;0.0206739871260886;0.006;0.018;0.022;0.028;0.027;0.027;0.038;0.02;0.012;0.034;0.02;0.018;0.023;0.027;0.03;0.027;0.002;0.019;0.02;0.02;0.03;0.025;0.033;0.024;;0.027;0.029;0.023;0.026;0.024;0.03;0.023;0.001;0.023;0.012;0.015;0.018;0.012;0.035;0.03;0;0.01;0.003;0.014;0.022;0.027;0.013;0.01
17.025;0.0020926756352765;0.0031413612565445;0.0062968515742128;0.0073518379594898;0.0084084084084084;0.0073518379594898;0.0115876598946576;0.0047173343317109;0.0026168224299065;0.0163835409588523;0.0078799249530956;0.0089372887720615;0.0110567882662655;0.0099962420142803;0.0228289723170269;0.0174537211938043;0.0005225830533781;0.0031413612565445;0.0084084084084084;0.0094665664913598;0.0099962420142803;0.0099962420142803;0.0110567882662655;0.0073518379594898;0.0057699512926189;0.021;0.025;0.0158490566037735;0.036;0.0147812971342383;0.027;0.021;0.006;0.0212121212121212;0.0099962420142803;0.0084084084084084;0.0110567882662655;0.0110567882662655;0.0195989405978055;0.0206739871260886;0.005;0.019;0.025;0.028;0.027;0.027;0.038;0.023;0.008;0.032;0.024;0.022;0.024;0.027;0.033;0.033;0.004;0.019;0.02;0.021;0.03;0.025;0.033;0.027;0.005;0.022;0.027;0.02;0.025;0.024;0.031;0.023;;0.021;0.012;0.014;0.018;0.012;0.034;0.031;0;0.019;0.016;0.015;0.021;0.027;0.013;0.01
21.8141666666666;0.0073518379594898;0.0078799249530956;0.0089372887720615;0.0084084084084084;0.0126506024096385;0.0105263157894736;0.0142480211081794;0.0105263157894736;0.0078799249530956;0.0201362604087812;0.0126506024096385;0.0142480211081794;0.0158490566037735;0.0212121212121212;0.0277016742770167;0.0185255198487712;0.0052434456928838;0.0052434456928838;0.0110567882662655;0.0121189311253293;0.0222896133434419;0.0190620272314674;0.0147812971342383;0.0212121212121212;0.0126506024096385;0.029;0.035;0.0195989405978055;0.047;0.0206739871260886;0.036;0.027;0.01;0.0304231795653831;0.0249905051272312;0.0174537211938043;0.0239089184060721;0.0153149754809505;0.03206106870229;0.0201362604087812;0.026;0.037;0.041;0.058;0.05;0.049;0.057;0.029;0.02;0.035;0.043;0.038;0.042;0.044;0.05;0.033;0.017;0.024;0.024;0.029;0.039;0.04;0.042;0.018;0.018;0.013;0.036;0.029;0.034;0.037;0.043;0.011;0.008;0.022;0.015;0.021;0.027;0.019;0.034;0.023;0.011;0.007;0.012;0.019;0.024;0.029;0.017;0.002
36.4;0.21168384879725;0.134560327198363;0.154910899295482;0.16790639364814;0.168561872909698;0.206164383561643;0.226354573038578;0.195916631220757;0.138966365873666;0.156846473029045;0.157492735574927;0.146578730420445;0.173165618448637;0.169874476987447;0.222135754431474;0.202049530315969;0.174485942089802;0.142129058775174;0.170531603181247;0.177796467619848;0.206164383561643;0.27350579839429;0.21168384879725;0.17978947368421;0.304679691049522;0.513;0.301;0.263120567375886;0.328;0.284777727885047;0.351;0.424;0.369;0.316376944190301;0.269781931464174;0.277996422182468;0.325057471264367;0.29927536231884;0.288568856885688;0.342684626103111;0.279;0.228;;;;;;;;;;;;;;;0.146;0.179;0.193;0.204;0.216;0.168;0.201;0.206;0.132;0.211;0.2;0.214;0.251;0.192;0.217;0.218;0.049;0.07;0.088;0.075;0.087;0.07;0.083;0.089;0.066;0.078;0.07;0.092;0.096;0.089;0.058;0.057
39.2725;0.236998254799301;0.172506286672254;0.163333333333333;0.181787521079257;0.16463719766472;0.177796467619848;0.242013129102844;0.229887054735013;0.140862422997946;0.176470588235294;0.152337608605709;0.157492735574927;0.175146935348446;0.148493602971522;0.184459459459459;0.173165618448637;0.177796467619848;0.142763157894736;0.160732113144758;0.140862422997946;0.175808483830323;0.140229885057471;0.14721649484536;0.193205944798301;0.278747203579418;0.577;0.308;0.307006369426751;0.348;0.351633986928104;0.38;0.463;0.386;0.347554727526781;0.31324200913242;0.323472668810289;0.375674396592522;0.350816612225851;0.345928338762214;0.406451612903225;0.302;0.313;;;;;;;;0.338;0.351;0.341;0.367;0.319;0.386;;0.184;0.254;0.249;0.219;0.219;0.204;0.208;0.206;0.209;0.255;0.244;0.238;0.265;0.234;0.209;0.229;0.061;0.08;0.091;0.082;0.09;0.079;0.088;0.079;0.079;0.079;0.068;0.094;0.088;0.086;0.058;0.052
41.8922222222222;0.292377086152458;0.202733874412644;0.224945864010394;0.212376450365277;0.204790419161676;0.224945864010394;0.277996422182468;0.29927536231884;0.175808483830323;0.193205944798301;0.191854051760712;0.196595744680851;0.21168384879725;0.201365770379854;0.230595393307257;0.210300429184549;0.1986365573072;0.176470588235294;0.185798816568047;0.166597077244258;0.192529711375212;0.144032921810699;0.16528994576554;0.226354573038578;0.318735684837379;0.667;0.383;0.383269961977186;0.431;0.440117704757233;0.44;0.522;0.426;0.429351535836177;0.39178605539637;0.41168517624336;0.451011346817957;0.431137140068325;0.428460038986354;0.489224572004028;0.331;0.289;0.301;;0.309;0.308;0.304;0.271;0.309;0.327;0.361;0.364;0.411;0.355;0.364;0.357;0.236;0.266;0.269;0.255;0.303;0.202;0.242;0.24;0.247;0.284;0.249;0.278;0.28;0.253;0.234;0.238;0.077;0.102;0.137;0.137;0.126;0.107;0.106;0.094;0.106;0.069;0.086;0.108;0.107;0.112;0.082;0.062
45.7119444444444;0.384966698382492;0.290851735015772;0.304679691049522;0.32744014732965;0.312460063897763;0.333826247689463;0.390930787589498;0.384117926771279;0.263858093126385;0.321100917431192;0.32189077558513;0.285534591194968;0.298506111362607;0.261647475642161;0.341875580315691;0.289329131022062;0.325850965961361;0.263858093126385;0.28629213483146;0.255050727834141;0.316376944190301;0.232013919095258;0.270525378450578;0.329829414476717;0.383269961977186;0.807;0.51;0.496865520728008;0.559;0.571623751970572;0.558;0.574;0.559;0.537016004130098;0.491129032258064;0.527067282999486;0.560292580982236;0.552133194588969;0.553149401353461;0.628108108108108;0.333;0.303;0.307;;0.325;0.32;0.354;0.288;0.335;0.384;0.439;0.449;0.482;0.437;0.439;0.449;0.297;;;;;0.293;0.325;0.336;0.306;0.368;0.37;0.363;0.358;0.347;0.356;0.333;0.121;0.112;0.158;0.115;0.143;0.12;0.129;0.12;0.147;0.162;0.135;0.137;0.137;0.143;0.109;0.083
60.4908333333333;1.20374739764052;0.928988206083178;0.949405134627426;0.967192429022081;1.00051183621241;1.0128617363344;1.11643192488262;1.09136786188578;0.937694704049844;1.00667094291212;1.01441441441441;0.949405134627426;0.958265241986172;0.900429184549356;1.03320363164721;0.989808917197452;0.983735705209656;0.913193588162762;0.880851063829787;0.903253529772866;0.971681415929203;0.812264150943396;0.89761175750153;0.998976982097186;0.697261039686975;1.21;0.891;0.958265241986172;0.916;1.03636363636363;0.917;0.945;0.974;1.03320363164721;1.02220787604906;1.03794671864847;1.09302325581395;1.04589308996088;1.03636363636363;1.21463414634146;;;;0.344;0.409;0.433;0.487;0.382;0.528;0.575;0.606;0.606;0.643;0.62;0.622;0.614;;;;;;0.375;0.398;0.376;;;0.444;0.472;0.461;0.468;0.533;0.476;0.245;;0.282;;;;0.268;0.246;0.261;0.276;0.286;;;;;0.196
63.1613888888888;1.33071324599708;1.01441441441441;1.0300518134715;1.05549738219895;1.08312375909993;1.07656765676567;1.1786941580756;1.16284153005464;1.00667094291212;1.09468085106382;1.10802139037433;1.02847896440129;1.04908616187989;0.974683544303797;1.11137884872824;1.06842105263157;1.0700460829493;1.00358744394618;0.974683544303797;0.989808917197452;1.06355876559422;0.89480122324159;0.994384173580089;1.09966688874083;0.731818181818181;1.241;0.922;1.00358744394618;0.954;1.09468085106382;0.947;0.991;1.01;1.11643192488262;1.08971466489714;1.09634065202927;1.1645933014354;1.11474530831099;1.09468085106382;1.27046263345195;;;;0.341;0.405;0.439;0.493;0.384;0.544;0.599;0.663;0.634;0.679;0.654;0.653;0.631;;;;;;;;;;;0.437;0.464;0.398;0.458;0.517;0.489;0.234;;;0.24;0.239;0.247;;;;;;;;;;0.181
