Time (hour);C0 = 1 R1;C0 = 1 R2;C0 = 1 R3;C0 = 1 R4;C0 = 1 R5;C0 = 1 R6;C0 = 1 R7;C0 = 1 R8;C0 = 1 R9;C0 = 1 R10;C0 = 1 R11;C0 = 1 R12;C0 = 1 R13;C0 = 1 R14;C0 = 1 R15;C0 = 1 R16;C0 = 1 R17;C0 = 1 R18;C0 = 1 R19;C0 = 1 R20;C0 = 1 R21;C0 = 1 R22;C0 = 1 R23;C0 = 1 R24;C0 = 1/2 R1;C0 = 1/2 R2;C0 = 1/2 R3;C0 = 1/2 R4;C0 = 1/2 R5;C0 = 1/2 R6;C0 = 1/2 R7;C0 = 1/2 R8;C0 = 1/2 R9;C0 = 1/2 R10;C0 = 1/2 R11;C0 = 1/2 R12;C0 = 1/2 R13;C0 = 1/2 R14;C0 = 1/2 R15;C0 = 1/2 R16;C0 = 1/4 R1;C0 = 1/4 R2;C0 = 1/4 R3;C0 = 1/4 R4;C0 = 1/4 R5;C0 = 1/4 R6;C0 = 1/4 R7;C0 = 1/4 R8;C0 = 1/4 R9;C0 = 1/4 R10;C0 = 1/4 R11;C0 = 1/4 R12;C0 = 1/4 R13;C0 = 1/4 R14;C0 = 1/4 R15;C0 = 1/4 R16;C0 = 1/8 R1;C0 = 1/8 R2;C0 = 1/8 R3;C0 = 1/8 R4;C0 = 1/8 R5;C0 = 1/8 R6;C0 = 1/8 R7;C0 = 1/8 R8;C0 = 1/8 R9;C0 = 1/8 R10;C0 = 1/8 R11;C0 = 1/8 R12;C0 = 1/8 R13;C0 = 1/8 R14;C0 = 1/8 R15;C0 = 1/8 R16;C0 = 1/16 R1;C0 = 1/16 R2;C0 = 1/16 R3;C0 = 1/16 R4;C0 = 1/16 R5;C0 = 1/16 R6;C0 = 1/16 R7;C0 = 1/16 R8;C0 = 1/16 R9;C0 = 1/16 R10;C0 = 1/16 R11;C0 = 1/16 R12;C0 = 1/16 R13;C0 = 1/16 R14;C0 = 1/16 R15;C0 = 1/16 R16
9.339444444;0.002092676;0.001045556;0.00156892;0.004191617;0.002092676;0;0.00156892;0.001045556;0.003;0.00156892;0.00156892;0.004717334;0.003141361;0.002092676;0.002616822;;0.00156892;0.00156892;0.000522583;0.002616822;0.003666293;0.002092676;0;0;0.004;0.004;0.005;0.004;0.007;0.001;;;0.002;0.004;0.003;0.009;0.008;0.002;0.002;0.001;0;0.002;0.007;0.007;0.009;0.007;0.005;0.001;0.002;0.003;0.003;0.002;0.009;0.004;0.003;0.002;0;0.005;0.006;0.009;0.009;0.006;0.007;0.001;0.003;0.004;0.008;0.006;0.014;0.009;0.006;0.002;0.003;;0.012;0.008;0.006;0.008;0.007;;0.004;0.005;0.007;0.008;0.015;0.008;;
22.31194444;;;;;;0.003666293;0.017989418;;;;;;;;;0.039;;0.002616822;0.006296852;0.007351838;0.005243446;;0;0.03315508;;;;0.002;0.005;;0;;;;;;;;;;;;;;;;;;;;;;;;;0.049;;;;;;;;0.033;;;0.004;;;0.003;;0.06;;;;;;;;;;0.005;0.003;0;0.01;;;
27.50527778;;;;0.005243446;0.004191617;0.013715147;0.028789033;0.006824147;0.006;0.002092676;;;;0;0.002616822;0.047;;0.007351838;0.009996242;0.012650602;0.010526316;0.007879925;0.005243446;0.023908918;;0.011;0.025;0.027;0.028;0.013;0.02;0.041;0.003;0.005;;;;;0.001;0.056;0.004;0.012;0.025;0.016;0.019;0.021;0.02;0.066;;0.012;;;;;0.008;0.049;;0.014;0.01;0.003;0.009;0.009;0.016;0.072;;0.011;0.018;0.005;0.014;0.015;0.009;0.057;0.006;0.002;0.004;0.003;;0.002;0.012;;;0.016;0.015;0.011;0.02;0.01;;
29.58305556;0.002616822;0.00156892;0.004191617;0.008408408;0.006296852;0.008408408;0.01158766;;0.012;0.006296852;0.004191617;0.002616822;0.00156892;0.004717334;0.006824147;0.025;0.002092676;0.007351838;0.008937289;0.010526316;0.011056788;0.008937289;0.007351838;0.011056788;0.005;0.015;0.021;0.021;0.023;0.014;0.016;0.013;0.01;0.012;0.009;0.006;0.003;0.006;0.01;0.03;0.006;0.015;0.024;0.019;0.02;0.021;0.019;0.027;0.007;0.018;0.011;0.01;0.012;0.01;0.019;0.029;0.006;0.019;0.016;0.013;0.018;0.016;0.019;0.031;0.01;0.015;0.02;0.014;0.021;0.018;0.016;0.031;0.007;0.008;0.012;0.013;0.01;0.013;0.015;;0.003;0.014;0.016;0.016;0.022;0.015;;
31.94722222;0.003141361;0.005243446;0.008937289;0.01158766;0.009996242;0.011056788;0.016383541;;0.017;0.010526316;0.007879925;0.005243446;0.003666293;0.006824147;0.007879925;0.01;0.002616822;0.010526316;0.013182674;0.013182674;0.013182674;0.01158766;0.009466566;0.004717334;0.01;0.021;0.027;0.025;0.026;0.017;0.019;;0.015;0.02;0.014;0.01;0.008;0.01;0.012;0.022;0.012;0.023;0.032;0.022;0.025;0.024;0.02;0.001;0.013;0.025;0.02;0.015;0.017;0.014;0.016;0.023;0.01;0.028;0.022;0.019;0.021;0.019;0.022;0;0.011;0.024;0.029;0.02;0.026;0.023;0.02;0.029;0.013;0.014;0.017;0.017;0.014;0.016;0.017;;0.001;0.019;0.021;0.019;0.025;0.019;;
47.82638889;0.021750663;0.01852552;0.017453721;0.02013626;0.019062027;0.020673987;0.024990505;0.015314975;0.049;0.024449506;0.016918429;0.014781297;0.013715147;0.016383541;0.016918429;0.047;0.020673987;0.024990505;0.022289613;0.023908918;0.023368741;0.021212121;0.01852552;0.024449506;0.042;0.049;0.046;0.04;0.04;0.032;0.034;0.037;0.048;0.044;0.037;0.026;0.019;0.023;0.025;0.048;0.06;0.057;0.066;0.047;0.051;0.049;0.047;0.06;0.054;0.063;0.046;0.039;0.041;0.033;0.037;0.056;0.045;0.058;0.052;0.04;0.042;0.04;0.044;0.058;0.034;0.051;0.051;0.041;0.046;0.045;0.039;0.064;0.023;0.019;0.024;0.022;0.023;0.023;0.026;;0.016;0.025;0.026;0.026;0.033;0.027;;
49.94833333;0.032607866;0.024990505;0.02013626;0.025531915;0.020673987;0.014248021;0.017989418;0.01852552;0.06;0.032607866;0.024990505;0.023368741;0.022828972;0.024449506;0.024449506;0.033;0.028789033;0.027701674;0.029878049;0.029878049;0.029878049;0.024990505;0.021750663;0.014248021;0.054;0.062;0.053;0.047;0.052;0.042;0.038;0.028;0.062;0.071;0.053;0.044;0.036;0.041;0.041;0.037;0.07;0.067;0.077;0.065;0.07;0.067;0.062;0.045;0.072;0.099;0.074;0.061;0.066;0.054;0.06;0.05;0.048;0.059;0.058;0.05;0.055;0.055;0.057;0.037;0.052;0.068;0.065;0.056;0.062;0.059;0.053;0.055;0.025;0.027;0.031;0.031;0.032;0.03;0.032;;0.02;0.032;0.034;0.034;0.04;0.033;;
53.08916667;0.049208188;0.037547893;0.039754413;0.034250765;0.034799235;0.032061069;0.032607866;0.023368741;0.119;0.054263566;0.040860215;0.032607866;0.028245147;0.03042318;0.031514689;0.069;0.048089541;0.054263566;0.045300462;0.042522107;0.041413753;0.032607866;0.031514689;0.02013626;0.105;0.112;0.098;0.073;0.073;0.062;0.066;0.045;0.131;0.112;0.078;0.06;0.048;0.053;0.051;0.065;0.15;0.134;0.14;0.113;0.12;0.117;0.125;0.123;0.161;0.145;0.129;0.113;0.111;0.1;0.088;0.117;0.111;0.11;0.101;0.085;0.083;0.079;0.09;0.093;0.108;0.115;0.108;0.079;0.088;0.079;0.079;0.104;0.053;0.044;0.049;0.045;0.046;0.041;0.045;;0.038;0.047;0.048;0.045;0.053;0.045;;
56.67166667;0.069068128;0.051450677;0.046414803;0.038650307;0.035897436;0.028245147;0.030968726;0.029333333;0.126;0.059922179;0.046414803;0.034799235;0.032061069;0.031514689;0.032061069;0.062;0.060490463;0.06105919;0.048648649;0.041967717;0.040860215;0.036447167;0.034799235;0.028789033;0.149;0.14;0.118;0.077;0.074;0.061;0.062;0.041;0.135;0.131;0.087;0.063;0.048;0.053;0.054;0.052;0.141;0.14;0.144;0.117;0.121;0.115;0.111;0.112;0.123;0.133;0.119;0.101;0.103;0.094;0.088;0.098;0.07;0.09;0.083;0.067;0.071;0.066;0.071;0.052;0.081;0.084;0.078;0.07;0.072;0.069;0.066;0.069;0.04;0.039;0.046;0.042;0.04;0.04;0.04;;0.034;0.045;0.043;0.041;0.048;0.041;;
71.01083333;0.258709107;0.29467028;0.192529711;0.144032922;0.159434746;0.173165618;0.167251462;0.181787521;0.35;0.189157137;0.186469345;0.121492295;0.105014039;0.10019992;0.10925181;0.36;0.2660746;0.231304348;0.173825503;0.147216495;0.135816619;0.140862423;0.133306089;0.179124579;0.318;0.28;0.279;0.246;0.234;0.221;0.253;0.243;0.324;0.293;0.25;0.215;0.203;0.186;0.215;0.275;0.191;0.162;0.183;0.157;0.163;0.147;0.148;0.148;0.196;0.216;0.176;0.151;0.15;0.139;0.135;0.178;0.072;0.106;0.084;0.083;0.085;0.078;0.078;0.064;0.132;0.108;0.109;0.096;0.098;0.099;0.084;0.089;0.045;0.048;0.052;0.048;0.044;0.045;0.046;;0.052;0.061;0.056;0.056;0.059;0.051;;
