Time (h) 1L;1L (mean);1L (std);Time (h) 3L;3L (mean);3L (std);Time (h) 5L;5L (mean);5L (std);Time (h) 285L;285L (mean);285L (std)
0.0;-1.400000200284726;-1.4000009051560212;0.0;-1.4000001866666916;-1.4000012702245608;0.0;-1.4000002131818505;-1.400012506778394;0.0;-1.4000002835265057;-1.4000020858786848
-4.906542056074767;-1.4000001924780225;-1.4000006784794046;-13.125000000000004;-1.4000001814409173;-1.4000014479903002;-1.6620111731843572;-1.4000001825790993;-1.4000057723314923;-1.7045454545454546;-1.4000002090485637;-1.4000011582737493
-1.6620111731843572;-1.4000001603981416;-1.4000003851462128;-1.6629292221443586;-1.400000159167207;-1.4000026506294365;-1.6048034934497815;-1.4000001342397266;-1.400005002684543;-1.6764922623434044;-1.400000202918567;-1.400001147275358
-1.6166281755196306;-1.4000001492838354;-1.4000003153548162;-1.6598937889632877;-1.4000001588965778;-1.400002662059862;-1.5759849906191368;-1.4000001089114744;-1.4000030016064353;-1.6531713900134952;-1.4000001880008603;-1.4000013330640637
-1.6048034934497815;-1.4000001445393406;-1.4000003007177781;-1.6371681415929202;-1.4000001570238312;-1.4000026698925696;-1.4979123173277662;-1.4000000869524964;-1.4000007146670312;-1.6299019607843135;-1.4000001727881304;-1.4000012978317533
-1.5759849906191368;-1.4000001328925746;-1.4000002689792468;-1.6189457304026453;-1.4000001541538234;-1.400002306957983;-1.488657844990548;-1.4000000786582851;-1.4000004362792058;-1.6145634769348074;-1.4000001594894396;-1.4000013503603883
-1.5542763157894735;-1.4000001216400841;-1.4000002335300186;-1.605551497443389;-1.4000001517216956;-1.400002049895618;-1.4827890556045893;-1.4000000710606098;-1.4000004810258062;-1.5942028985507244;-1.4000001475031234;-1.4000017786787982
-1.4979123173277662;-1.4000000801810228;-1.400000155783477;-1.6035075031639847;-1.4000001513696576;-1.4000020066133292;-1.4602053915275994;-1.4000000449880112;-1.4000003789900015;-1.5831435079726648;-1.4000001428840883;-1.400001659205478
-1.4908034849951597;-1.4000000769641068;-1.4000001576547305;-1.5893037336024216;-1.4000001485595739;-1.4000017519962868;-1.456574185765983;-1.4000000372222232;-1.4000003075410512;-1.5759849906191368;-1.4000001404428362;-1.4000016910469089
-1.488657844990548;-1.4000000756324584;-1.4000001602861478;-1.5761226725082147;-1.4000001460279103;-1.4000015780531512;-1.454125793421812;-1.400000036929135;-1.4000003291228842;-1.503303964757709;-1.400000098674833;-1.4000010022505918
-1.4827890556045893;-1.400000067039908;-1.4000001360931897;-1.5755732335049135;-1.4000001458173421;-1.4000015610177468;-1.4434661723818352;-1.4000000297777786;-1.400000416889013;-1.499032201302129;-1.4000000947279454;-1.4000010326145518
-1.4776490066225163;-1.400000061619654;-1.4000001235198782;-1.5644171779141103;-1.400000135816965;-1.400001921301815;-1.441541186891054;-1.400000028641222;-1.4000003126667364;-1.4966512107161256;-1.4000000899670355;-1.4000011108194659
-1.477515322636182;-1.4000000614517387;-1.4000001232634978;-1.5541706615532118;-1.4000001264486839;-1.4000021620915557;-1.440205743677668;-1.4000000281048695;-1.4000003001600643;-1.4930555555555554;-1.400000081200153;-1.4000007782534083
-1.4602053915275994;-1.400000036711386;-1.4000001269175837;-1.4978697504564817;-1.4000000791139806;-1.40000067342541;-1.4340101522842639;-1.4000000268000006;-1.4000003126667364;-1.4901489668428638;-1.4000000728961373;-1.400000875596759
-1.4574402939375382;-1.4000000339036152;-1.4000001296838003;-1.4930555555555554;-1.4000000764042906;-1.400000640704444;-1.432820153953814;-1.4000000264225358;-1.4000003752001005;-1.4866112650046166;-1.4000000678451008;-1.4000009815600096
-1.456574185765983;-1.4000000338170355;-1.4000001232528019;-1.491319162745416;-1.4000000752155453;-1.4000006519958057;-1.431980906921241;-1.400000024603279;-1.4000003949474797;-1.4841821853264525;-1.4000000656280083;-1.4000006390697775
-1.454125793421812;-1.400000030846808;-1.4000000761337998;-1.4886927744070602;-1.400000073776472;-1.400000686567838;-1.427933293627159;-1.4000000233043484;-1.4000006253336126;-1.4823348694316436;-1.4000000625361575;-1.4000006114586319
-1.4518805309734515;-1.4000000290006371;-1.4000000782786504;-1.4885184020132116;-1.4000000735706752;-1.4000006837163268;-1.4271255060728745;-1.400000021019608;-1.4000008337782743;-1.4622015915119362;-1.4000000377687796;-1.4000004671260347
-1.4434661723818352;-1.4000000246403466;-1.4000000900574645;-1.485623003194888;-1.4000000687901457;-1.4000005344044635;-1.426549674497594;-1.4000000197994724;-1.4000005772310071;-1.461021359644367;-1.4000000369849281;-1.400000405840423
-1.4420062695924765;-1.4000000235974848;-1.400000086950687;-1.4827890556045893;-1.4000000638600907;-1.4000004489390345;-1.4236988377968671;-1.4000000184373467;-1.400001072000821;-1.4599648393798945;-1.400000036351453;-1.4000003561159688
-1.441541186891054;-1.400000022959715;-1.400000088834984;-1.482697817941371;-1.4000000637340924;-1.4000004473016;-1.4231148348940363;-1.4000000183024393;-1.4000018760025137;-1.4583333333333335;-1.4000000349506432;-1.400000261472808
