Date;Hour;Dilution;A;B;C;neg;Mean;Standard deviation;Effectif;Day;Time (h);Time (s);mean 0;std 0;95% confidence interval;mean 1;std 1;95% confidence interval;mean 2;std 2;95% confidence interval;mean 3;std 3;95% confidence interval;mean 4;std 4;95% confidence interval;;Count;Tri 1;Tri 2;Tri 3;Mean;Dilution 1;Dilution 2;Division by volume 1 µL;OD ;Ratio cell/OD (/L);Ratio cell/OD (/mL);Mean per triplicates;
09/04/2024;10h45;0;0.055;0.05;0.055;0.009;0.0533333333333333;0.00288675134594813;3;08/04/2024;14h43;0;;;;;;;;;;;;;;;;;0A;93;108;94;98.33333333;1966.666667;6555.555556;65555555556;12.68;5169996495;5169996.495;4600781.317;0
;;1;0.036;0.026;0.044;;0.0353333333333333;0.00901849950564579;3;09/04/2024;10h45;72120;0.0533333333333333;0.00288675134594813;0.00717108788291577;0.0353333333333333;0.00901849950564579;0.0224031947253764;0.048;0.0101488915650922;0.0252112442693103;0.0506666666666667;0.00115470053837925;0.0028684351531663;0.045;0.0113137084989847;0.101649637889398;;0B;91;93;80;88;1760;5866.666667;58666666667;13.82;4245055475;4245055.475;5454153.947;1
;;2;0.037;0.057;0.05;;0.048;0.0101488915650922;3;09/04/2024;13h05;83220;0.0756666666666667;0.0146401275039985;0.036368092837516;0.065;0.00173205080756888;0.00430265272974947;0.078;0.00458257569495584;0.0113837491007903;0.0673333333333333;0.00152752523165195;0.00379458303359676;0.0595;0.0106066017177983;0.0952965355213109;;0C;105;100;56;87;1740;5800;58000000000;13.22;4387291982;4387291.982;5560857.895;2
;;3;0.05;0.05;0.052;;0.0506666666666667;0.00115470053837925;3;09/04/2024;15h00;90420;0.0736666666666667;0.00945163125250523;0.0234791536319063;0.0923333333333333;0.0141891977691953;0.0352479212779417;0.0923333333333333;0.00152752523165195;0.00379458303359676;0.0803333333333333;0.00208166599946613;0.00517114501254227;0.0715;0.00636396103067892;0.0571779213127861;;1A;91;111;134;112;1120;3733.333333;37333333333;6.5;5743589744;5743589.744;5056096.314;3
;;4;0.053;0.037;0;;0.045;0.0113137084989847;2;09/04/2024;17h00;97620;0.0886666666666667;0.0167431578064991;0.0415923097209113;0.123333333333333;0.00971253485622231;0.0241272741130314;0.104;0.0225388553391693;0.0559896205277158;0.0953333333333333;0.00208166599946613;0.00517114501254227;0.0835;0.0162634559672907;0.14612135446601;;1B;124;92;115;110.3333333;1103.333333;3677.777778;36777777778;6.81;5400554740;5400554.74;3679790.562;4
;13h05;0;0.06;0.089;0.078;0.014;0.0756666666666667;0.0146401275039985;3;09/04/2024;18h15;102120;0.139333333333333;0.0106926766215636;0.0265620812351773;0.145333333333333;0.00832666399786452;0.020684580050169;0.126666666666667;0.0165025250593154;0.0409945448389503;0.101333333333333;0.0055075705472861;0.0136815636966388;0.085;0.0155563491861041;0.139768252097923;;1C;87;83;124;98;980;3266.666667;32666666667;6.26;5218317359;5218317.359;;
;;1;0.066;0.066;0.063;;0.065;0.00173205080756888;3;10/04/2024;9h10;155820;0.142;0.0014142135623731;0.00351310124275979;0.315;0.100164864099144;0.248823316301031;0.284333333333333;0.0300388637157489;0.0746206741744204;0.254333333333333;0.0140118997046558;0.0348074884695988;0.163;0.0565685424949238;0.508248189446988;;2A;169;157;169;165;1650;1650;16500000000;3.03;5445544554;5445544.554;;
;;2;0.077;0.083;0.074;;0.078;0.00458257569495584;3;10/04/2024;11h06;162780;0.481666666666667;0.0663425454239843;0.164804018981229;0.463333333333333;0.0585348898805944;0.145408727405537;0.455;0.0874128137060012;0.217145467017284;0.303333333333333;0.00635085296108589;0.0157763933424147;0.1935;0.0671751442127219;0.603544724968298;;2B;156;159;117;144;1440;1440;14400000000;2.74;5255474453;5255474.453;;
;;3;0.066;0.067;0.069;;0.0673333333333333;0.00152752523165195;3;10/04/2024;13h16;170580;0.497;0.0777817459305206;0.698841260489612;0.554333333333333;0.022120880030716;0.0549513123014065;0.566;0.0673572564761956;0.167324700972557;0.359666666666667;0.0100664459136943;0.0250064379175031;0.2215;0.065760930650349;0.590838520232124;;2C;148;134;172;151.3333333;1513.333333;1513.333333;15133333333;2.53;5981554677;5981554.677;;
;;4;0.052;0.067;0.004;;0.0595;0.0106066017177983;2;10/04/2024;15h10;177420;0.659333333333333;0.0452806065919322;0.112483262445949;0.574666666666667;0.0386566078870525;0.0960283374605724;0.650666666666667;0.0575007246331151;0.142839718514093;0.416333333333333;0.0180092568789868;0.0447374741736901;0.246;0.0721248916810279;0.648016441544911;;3A;46;52;43;47;470;470;4700000000;1.18;3983050847;3983050.847;;
;15h00;0;0.077;0.081;0.063;0.009;0.0736666666666667;0.00945163125250523;3;10/04/2024;17h05;184320;0.767333333333333;0.0949596405497262;0.235892824183831;0.762666666666667;0.0544181342323801;0.135182139449747;0.794;0.087840765023991;0.218208557025096;0.432666666666667;0.00611010092660779;0.0151783321343871;0.226;0.0650538238691624;0.584485417864036;;3B;62;80;60;67.33333333;673.3333333;673.3333333;6733333333;1.12;6011904762;6011904.762;;
;;1;0.095;0.077;0.105;;0.0923333333333333;0.0141891977691953;3;10/04/2024;18h31;189480;0.886666666666667;0.0651255198315786;0.161780759810968;0.812666666666667;0.0525483903971695;0.130537438277388;0.89;0.0894203556244326;0.222132477604779;0.509333333333333;0.0312623309005156;0.0776599351471886;0.267;0.0975807358037436;0.876728126796055;;3C;73;67;54;64.66666667;646.6666667;646.6666667;6466666667;1.25;5173333333;5173333.333;;
;;2;0.091;0.092;0.094;;0.0923333333333333;0.00152752523165195;3;10/04/2024;19h52;194340;0.978;0.194030925370159;0.481999538957825;0.904666666666667;0.0617197969320488;0.153320475120475;0.942666666666667;0.0875061902572232;0.217377427229567;0.578;0.013114877048604;0.0325791606614061;0.316;0.0933380951166243;0.83860951258753;;4A;66;56;44;55.33333333;276.6666667;276.6666667;2766666667;0.645;4289405685;4289405.685;;
