Start;21/10/2024;10h29;End;;;Day;Hour;;A;B;C;Dilution;Day;Time (h);Time (s);OD 0A;Std 0A;OD 0B;Std 0B;OD 0C;Std 0C;OD 1A;Std 1A;OD 1B;Std 1B;OD 1C;Std 1C;OD 2A;Std 2A;OD 2B;Std 2B;OD 2C;Std 2C;OD 3A;Std 3A;OD 3B;Std 3B;OD 3C;Std 3C;OD 4A;Std 4A;OD 4B;Std 4B;OD 4C;Std 4C;mean 0;std 0;mean 1;std 1;mean 2;std 2;mean 3;std 3;mean 4;std 4;dilution 0;dilution 1;dilution 2;dilution 3;dilution 4;OD 0A NC;OD 0B NC;OD 0C NC;OD 1A NC;OD 1B NC;OD 1C NC;OD 2A NC;OD 2B NC;OD 2C NC;OD 3A NC;OD 3B NC;OD 3C NC;OD 4A NC;OD 4B NC;OD 4C NC;mean 0 NC;mean 1 NC;mean 2 NC;mean 3 NC;mean 4 NC
;;;;;;21/10/2024;16h37;0;0.022;0.018;0.023;1;21/10/2024;10h29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0.024;0.019;0.027;1;21/10/2024;16h37;22080;0.023;0.001;0.0196666666666667;0.00208166599946613;0.026;0.00264575131106459;0.0196666666666667;0.000577350269189626;0.0226666666666667;0.00115470053837925;0.023;0.00264575131106459;0.028;0.001;0.0226666666666667;0.00251661147842358;0.02;0.00173205080756888;0.029;0.000999999999999999;0.0306666666666667;0.00251661147842358;0.027;0.001;0.022;4.24918736097037E-18;0.03;0.002;0.0323333333333333;0.000577350269189626;0.0228888888888889;0.00316812831764072;0.0217777777777778;0.00183585684909537;0.0235555555555556;0.00407340061773852;0.0288888888888889;0.00183585684909537;0.0281111111111111;0.00541944373255871;1;1;1;1;1;0.023;0.0196666666666667;0.026;0.0196666666666667;0.0226666666666667;0.023;0.028;0.0226666666666667;0.02;0.029;0.0306666666666667;0.027;0.022;0.03;0.0323333333333333;0.0228888888888889;0.0217777777777778;0.0235555555555556;0.0288888888888889;0.0281111111111111
;;;;;;;;;0.023;0.022;0.028;1;22/10/2024;8h26;79020;0.087;0.00199999999999999;0.0983333333333333;0.00288675134594813;0.084;0.001;0.0666666666666667;0.00251661147842359;0.101666666666667;0.00305505046330389;0.096;0.001;0.0886666666666667;0.00288675134594813;0.0863333333333333;0.00251661147842358;0.0866666666666667;0.00305505046330389;0.120333333333333;0.000577350269189626;0.118;0;0.114;0.002;0.0733333333333333;0.00208166599946613;0.0653333333333333;0.00115470053837925;0.075;0.00264575131106459;0.0897777777777778;0.00755963941918847;0.0881111111111111;0.0187863228420553;0.0872222222222222;0.00126197963240006;0.117444444444444;0.00320300784564435;0.0712222222222222;0.00516756264632599;1;1;1;1;1;0.087;0.0983333333333333;0.084;0.0666666666666667;0.101666666666667;0.096;0.0886666666666667;0.0863333333333333;0.0866666666666667;0.120333333333333;0.118;0.114;0.0733333333333333;0.0653333333333333;0.075;0.0897777777777778;0.0881111111111111;0.0872222222222222;0.117444444444444;0.0712222222222222
;;;;;;;;mean 0;0.023;0.0196666666666667;0.026;1;22/10/2024;13h08;95940;0.114666666666667;0.00208166599946613;0.103;0.005;0.105;0.00173205080756888;0.118333333333333;0.00152752523165194;0.101666666666667;0.00115470053837924;0.112;0.00346410161513776;0.126666666666667;0.00503322295684717;0.126666666666667;0.00321455025366432;0.120666666666667;0.00115470053837925;0.184;0.001;0.158333333333333;0.00152752523165195;0.175666666666667;0.00251661147842359;0.0946666666666667;0.0030550504633039;0.0723333333333333;0.00305505046330389;0.0953333333333333;0.00208166599946613;0.107555555555556;0.00623906450727399;0.110666666666667;0.00841295297608264;0.124666666666667;0.00346410161513777;0.172666666666667;0.0130936795609349;0.0874444444444444;0.0130908506358589;1;1;1;1;1;0.114666666666667;0.103;0.105;0.118333333333333;0.101666666666667;0.112;0.126666666666667;0.126666666666667;0.120666666666667;0.184;0.158333333333333;0.175666666666667;0.0946666666666667;0.0723333333333333;0.0953333333333333;0.107555555555556;0.110666666666667;0.124666666666667;0.172666666666667;0.0874444444444444
;;;;;;;;dilution 0;0.023;0.0196666666666667;0.026;;22/10/2024;16h02;106380;0.133333333333333;0.00152752523165195;0.126;0.00173205080756888;0.15;0.00173205080756888;0.103333333333333;0.00321455025366432;0.133;0.001;0.126333333333333;0.00503322295684717;0.134;0.00173205080756888;0.153666666666667;0.000577350269189626;0.145666666666667;0.00208166599946613;0.237;0.00519615242270662;0.235666666666667;0.00115470053837925;0.221666666666667;0.00321455025366432;0.109333333333333;0.000577350269189626;0.083;0.004;0.101333333333333;0.00208166599946613;0.136444444444444;0.0122987503129082;0.120888888888889;0.0155646798636932;0.144444444444444;0.00989013724954384;0.231444444444444;0.00849400660160727;0.0978888888888889;0.0135003429311724;1;1;1;1;1;0.133333333333333;0.126;0.15;0.103333333333333;0.133;0.126333333333333;0.134;0.153666666666667;0.145666666666667;0.237;0.235666666666667;0.221666666666667;0.109333333333333;0.083;0.101333333333333;0.136444444444444;0.120888888888889;0.144444444444444;0.231444444444444;0.0978888888888889
;;;;;;;;1;0.02;0.022;0.02;1;23/10/2024;8h36;166020;0.364;0.00173205080756888;0.661333333333333;0.00208166599946613;0.34;0.00173205080756888;0.456666666666667;0.00321455025366432;0.470666666666667;0.00404145188432737;0.538;0.002;0.7;0.00360555127546399;0.767333333333333;0.00351188458428425;0.582;0.00655743852430201;0.861333333333333;0.00152752523165195;0.912;0.00264575131106459;0.918;0.00264575131106459;0.357333333333333;0.00152752523165195;0.248;0.00173205080756888;0.282666666666667;0.00404145188432737;0.455111111111111;0.178996379024001;0.488444444444444;0.0434835004894364;0.683111111111111;0.0938138424596122;0.897111111111111;0.0311293597273866;0.296;0.0558728715726857;2;2;2;2;2;0.182;0.330666666666667;0.17;0.228333333333333;0.235333333333333;0.269;0.35;0.383666666666667;0.291;0.430666666666667;0.456;0.459;0.178666666666667;0.124;0.141333333333333;0.227555555555556;0.244222222222222;0.341555555555556;0.448555555555556;0.148
;;;;;;;;;0.019;0.024;0.025;1;23/10/2024;13h28;183540;0.456666666666667;0.00251661147842359;1.07066666666667;0.00378593889720019;0.442;0.00173205080756888;0.833333333333333;0.0030550504633039;1.092;0.00264575131106459;1.096;0.00529150262212919;1.04266666666667;0.00230940107675847;1.16666666666667;0.0070237691685685;1.04933333333333;0.00416333199893227;1.10533333333333;0.00251661147842359;1.11466666666667;0.00378593889720015;1.11066666666667;0.000577350269189626;0.469333333333333;0.00513160143944687;0.324666666666667;0.00351188458428425;0.410666666666667;0.00321455025366431;0.656444444444444;0.358801915846076;1.00711111111111;0.150509258974447;1.08622222222222;0.0697466314067755;1.11022222222222;0.00468251277904559;0.401555555555556;0.0727624241650202;2;4;4;4;2;0.228333333333333;0.535333333333333;0.221;0.208333333333333;0.273;0.274;0.260666666666667;0.291666666666667;0.262333333333333;0.276333333333333;0.278666666666667;0.277666666666667;0.234666666666667;0.162333333333333;0.205333333333333;0.328222222222222;0.251777777777778;0.271555555555556;0.277555555555556;0.200777777777778
;;;;;;;;;0.02;0.022;0.024;1;23/10/2024;18h16;200820;1.19166666666667;0.00404145188432737;1.295;0.00360555127546399;1.465;0.00529150262212919;1.16166666666667;0.00208166599946613;1.505;0.00360555127546399;1.665;0.004;1.40833333333333;0.00230940107675847;1.36166666666667;0.0575528742404177;1.43666666666667;0.0030550504633039;1.21;0.004;1.27333333333333;0.00115470053837925;1.33166666666667;0.00461880215351701;0.586666666666667;0.00288675134594813;0.473333333333333;0.0023094010767585;0.529333333333333;0.00115470053837925;1.31722222222222;0.138015028703935;1.44388888888889;0.257171221245762;1.40222222222222;0.0378716154825649;1.27166666666667;0.0608504542117623;0.529777777777778;0.0566679738411323;5;5;5;5;4;0.238333333333333;0.259;0.293;0.232333333333333;0.301;0.333;0.281666666666667;0.272333333333333;0.287333333333333;0.242;0.254666666666667;0.266333333333333;0.146666666666667;0.118333333333333;0.132333333333333;0.263444444444444;0.288777777777778;0.280444444444444;0.254333333333333;0.132444444444444
;;;;;;;;mean 1;0.0196666666666667;0.0226666666666667;0.023;1;24/10/2024;8h20;251460;2.5905;0.00399999999999998;2.85816666666667;0.00152752523165195;3.56583333333333;0.00709459888459759;2.0185;0.00264575131106459;2.39616666666667;0.00513160143944689;2.58133333333333;0.00230940107675847;2.10833333333333;0.0045092497528229;2.17066666666667;0.00230940107675851;2.21283333333333;0.00635085296108589;1.55833333333333;0.00230940107675851;1.58766666666667;0.00115470053837925;1.67383333333333;0.00115470053837925;0.751666666666667;0.00568624070307733;0.703333333333333;0.00152752523165193;0.791666666666667;0.00288675134594813;3.00483333333333;0.503936614179912;2.332;0.286850764529417;2.16394444444444;0.0525733174120078;1.60661111111111;0.0600352519898228;0.748888888888889;0.0442321317763623;5.5;5.5;5.5;5.5;5;0.471;0.519666666666667;0.648333333333333;0.367;0.435666666666667;0.469333333333333;0.383333333333333;0.394666666666667;0.402333333333333;0.283333333333333;0.288666666666667;0.304333333333333;0.150333333333333;0.140666666666667;0.158333333333333;0.546333333333333;0.424;0.393444444444444;0.292111111111111;0.149777777777778
;;;;;;;;dilution 1;0.0196666666666667;0.0226666666666667;0.023;;24/10/2024;12h57;268080;4.04333333333333;0.00251661147842356;4.66333333333333;0.00602771377334169;5.12;0.001;2.86666666666667;0.00251661147842359;3.29666666666667;0.00115470053837925;3.35666666666667;0.0030550504633039;2.39333333333333;0.00404145188432738;2.61;0.001;2.61333333333333;0.00503322295684717;1.70333333333333;0.00550757054728609;1.66;0.002;1.84333333333333;0.000577350269189626;0.791666666666667;0.00115470053837925;0.758333333333333;0.00230940107675851;0.848333333333333;0.00230940107675851;4.60888888888889;0.540394231951013;3.17333333333333;0.267270150472015;2.53888888888889;0.126065826426485;1.73555555555556;0.0958200473882238;0.799444444444444;0.0455013227320962;10;10;10;10;5;0.404333333333333;0.466333333333333;0.512;0.286666666666667;0.329666666666667;0.335666666666667;0.239333333333333;0.261;0.261333333333333;0.170333333333333;0.166;0.184333333333333;0.158333333333333;0.151666666666667;0.169666666666667;0.460888888888889;0.317333333333333;0.253888888888889;0.173555555555556;0.159888888888889
