Time (hour);C0 = 1.0 R1;C0 = 1.0 R2;C0 = 1.0 R3;C0 = 1.0 R4;C0 = 1.0 R5;C0 = 0.95 R1;C0 = 0.95 R2;C0 = 0.95 R3;C0 = 0.95 R4;C0 = 0.95 R5;C0 = 0.9 R1;C0 = 0.9 R2;C0 = 0.9 R3;C0 = 0.9 R4;C0 = 0.9 R5;C0 = 0.85 R1;C0 = 0.85 R2;C0 = 0.85 R3;C0 = 0.85 R4;C0 = 0.85 R5;C0 = 0.8 R1;C0 = 0.8 R2;C0 = 0.8 R3;C0 = 0.8 R4;C0 = 0.8 R5;C0 = 0.75 R1;C0 = 0.75 R2;C0 = 0.75 R3;C0 = 0.75 R4;C0 = 0.75 R5;C0 = 0.7 R1;C0 = 0.7 R2;C0 = 0.7 R3;C0 = 0.7 R4;C0 = 0.7 R5;C0 = 0.65 R1;C0 = 0.65 R2;C0 = 0.65 R3;C0 = 0.65 R4;C0 = 0.65 R5;C0 = 0.6 R1;C0 = 0.6 R2;C0 = 0.6 R3;C0 = 0.6 R4;C0 = 0.6 R5;C0 = 0.55 R1;C0 = 0.55 R2;C0 = 0.55 R3;C0 = 0.55 R4;C0 = 0.55 R5;C0 = 0.5 R1;C0 = 0.5 R2;C0 = 0.5 R3;C0 = 0.5 R4;C0 = 0.5 R5;C0 = 0.45 R1;C0 = 0.45 R2;C0 = 0.45 R3;C0 = 0.45 R4;C0 = 0.45 R5;C0 = 0.4 R1;C0 = 0.4 R2;C0 = 0.4 R3;C0 = 0.4 R4;C0 = 0.4 R5;C0 = 0.35 R1;C0 = 0.35 R2;C0 = 0.35 R3;C0 = 0.35 R4;C0 = 0.35 R5;C0 = 0.3 R1;C0 = 0.3 R2;C0 = 0.3 R3;C0 = 0.3 R4;C0 = 0.3 R5;C0 = 0.25 R1;C0 = 0.25 R2;C0 = 0.25 R3;C0 = 0.25 R4;C0 = 0.25 R5;C0 = 0.2 R1;C0 = 0.2 R2;C0 = 0.2 R3;C0 = 0.2 R4;C0 = 0.2 R5;C0 = 0.15 R1;C0 = 0.15 R2;C0 = 0.15 R3;C0 = 0.15 R4;C0 = 0.15 R5
7.040277777777778;0.009;0.009;0.011;0.009;0.008;0.005;0.003;0.005;0.006;0.008;0.004;0.003;0.005;0.006;0.007;0.006;0.004;0.006;0.008;0.01;0.006;0.002;0.002;0.005;0.004;0.006;0.005;0.007;0.011;0.005;0.003;0.003;0.007;0.006;0.008;0.001;0.004;0.003;0.004;0.006;0.003;0.003;0.007;0.006;0.011;0.003;0.003;0.004;0.006;0.008;0.001;0.003;0.004;0.005;0.008;0.001;0.001;0.001;0.002;0.003;0.004;0.004;0.006;0.008;0.006;0.004;0.005;0.003;0.005;0.008;0.005;0.004;0.002;0.004;0.009;0.003;0.004;0.005;0.004;0.007;0.007;0.008;0.009;0.007;0.003;0.001;0.003;0.002;0.001;0.001
22.185555555555556;0.058;0.046;0.066;0.048;0.037;0.028;0.019;0.026;0.031;0.039;0.018;0.03;0.029;0.031;0.042;0.034;0.041;0.045;0.045;0.045;0.026;0.032;0.032;0.024;0.033;0.04;0.037;0.042;0.044;0.045;0.022;0.03;0.03;0.023;0.038;0.008;0.02;0.025;0.028;0.024;0.024;0.028;0.034;0.041;0.036;0.019;0.029;0.035;0.038;0.04;0.014;0.021;0.023;0.033;0.036;0.019;0.016;0.014;0.015;0.013;0.026;0.046;0.044;0.041;0.028;0.022;0.035;0.041;0.04;0.043;0.025;0.028;0.023;0.029;0.031;0.026;0.022;0.026;0.028;0.069;0.041;0.036;0.033;0.038;0.035;0.021;0.028;0.022;0.013;0.019
25.78611111111111;0.078;0.073;0.084;0.08;0.065;0.042;0.04;0.038;0.036;0.041;0.04;0.039;0.038;0.036;0.04;0.056;0.053;0.063;0.056;0.05;0.039;0.036;0.032;0.033;0.035;0.063;0.053;0.061;0.051;0.06;0.042;0.036;0.037;0.04;0.04;0.022;0.024;0.027;0.025;0.024;0.038;0.037;0.039;0.038;0.042;0.043;0.037;0.044;0.044;0.044;0.037;0.035;0.036;0.042;0.042;0.027;0.024;0.028;0.023;0.027;0.052;0.06;0.056;0.056;0.05;0.052;0.053;0.054;0.058;0.052;0.05;0.056;0.045;0.046;0.045;0.034;0.031;0.029;0.026;0.091;0.044;0.045;0.044;0.042;0.047;0.03;0.033;0.034;0.028;0.033
28.051666666666666;0.108;0.092;0.107;0.092;0.082;0.053;0.047;0.045;0.046;0.051;0.037;0.052;0.047;0.049;0.052;0.066;0.057;0.073;0.064;0.064;0.045;0.043;0.04;0.043;0.043;0.076;0.073;0.075;0.07;0.074;0.044;0.045;0.041;0.039;0.046;0.03;0.026;0.029;0.033;0.035;0.052;0.046;0.054;0.062;0.063;0.053;0.048;0.055;0.057;0.057;0.044;0.048;0.052;0.051;0.053;0.032;0.031;0.036;0.027;0.036;0.055;0.066;0.07;0.076;0.061;0.063;0.058;0.061;0.068;0.068;0.066;0.062;0.059;0.058;0.058;0.043;0.043;0.044;0.041;0.121;0.067;0.067;0.061;0.057;0.052;0.037;0.043;0.042;0.04;0.045
30.595833333333335;0.134;0.115;0.128;0.114;0.107;0.072;0.058;0.067;0.075;0.076;0.051;0.07;0.071;0.067;0.079;0.092;0.083;0.087;0.091;0.089;0.055;0.069;0.06;0.058;0.058;0.1;0.104;0.096;0.102;0.096;0.063;0.069;0.054;0.057;0.062;0.033;0.046;0.04;0.043;0.048;0.084;0.085;0.086;0.086;0.085;0.089;0.088;0.088;0.089;0.088;0.065;0.07;0.074;0.08;0.08;0.042;0.034;0.045;0.038;0.046;0.085;0.1;0.105;0.098;0.088;0.085;0.093;0.092;0.112;0.1;0.089;0.085;0.082;0.079;0.087;0.059;0.061;0.056;0.059;0.162;0.092;0.091;0.086;0.078;0.083;0.064;0.065;0.06;0.05;0.056
47.05555555555556;0.88;0.823;0.809;0.795;0.766;0.662;0.635;0.613;0.568;0.622;0.658;0.662;0.644;0.599;0.607;0.793;0.72;0.717;0.746;0.709;0.471;0.576;0.476;0.45;0.371;0.856;0.796;0.829;0.831;0.747;0.76;0.703;0.671;0.676;0.666;0.644;0.538;0.454;0.459;0.409;0.812;0.771;0.712;0.763;0.742;0.873;0.817;0.781;0.813;0.781;0.828;0.746;0.732;0.75;0.76;0.732;0.634;0.595;0.543;0.555;0.695;0.72;0.725;0.647;0.653;0.64;0.628;0.62;0.576;0.6;0.611;0.566;0.575;0.558;0.557;0.39;0.424;0.452;0.406;0.592;0.456;0.472;0.454;0.437;0.497;0.385;0.375;0.364;0.411;0.358
49.72361111111111;0.952;0.924;0.922;0.898;0.872;0.733;0.756;0.744;0.692;0.75;0.739;0.8;0.793;0.746;0.744;0.9;0.848;0.862;0.877;0.835;0.451;0.677;0.56;0.554;0.331;1.004;0.95;0.957;0.957;0.862;0.869;0.819;0.78;0.77;0.757;0.703;0.48;0.424;0.429;0.406;0.953;0.92;0.861;0.94;0.902;0.993;0.962;0.936;0.991;0.964;0.939;0.884;0.876;0.911;0.924;0.839;0.791;0.746;0.684;0.685;0.805;0.862;0.891;0.825;0.807;0.728;0.728;0.735;0.69;0.73;0.632;0.632;0.649;0.656;0.628;0.504;0.506;0.533;0.532;0.639;0.494;0.512;0.475;0.493;0.511;0.398;0.386;0.379;0.574;0.366
53.15888888888889;1.28;1.077;1.062;1.04;1.015;0.873;0.875;0.871;0.818;0.87;0.876;0.916;0.91;0.857;0.847;1.077;0.994;1.015;1.028;0.984;0.551;0.802;0.702;0.69;0.426;1.17;1.143;1.159;1.154;1.066;1.041;0.992;0.951;0.961;0.935;0.872;0.547;0.5;0.511;0.467;1.099;1.101;1.045;1.098;1.07;1.121;1.092;1.075;1.106;1.203;1.07;0.999;1.011;1.027;1.029;0.975;0.942;0.911;0.855;0.836;0.893;0.891;0.905;0.827;0.821;0.802;0.775;0.757;0.737;0.761;0.731;0.716;0.678;0.722;0.674;0.572;0.56;0.559;0.569;0.632;0.501;0.543;0.519;0.531;0.544;0.445;0.428;0.442;0.856;0.426
55.07833333333333;1.462;1.162;1.164;1.155;1.118;0.949;0.957;0.942;0.891;0.953;0.965;1.012;0.984;0.926;0.935;1.158;1.094;1.12;1.138;1.085;0.573;0.874;0.744;0.757;0.452;1.223;1.211;1.213;1.209;1.129;1.109;1.076;1.056;1.052;1.011;0.947;0.63;0.57;0.577;0.531;1.126;1.128;1.082;1.141;1.11;1.15;1.125;1.116;1.15;1.457;1.095;1.038;1.049;1.068;1.071;0.986;0.973;0.955;0.889;0.879;0.91;0.927;0.957;0.849;0.843;0.827;0.827;0.806;0.779;0.791;0.776;0.747;0.736;0.759;0.706;0.59;0.588;0.586;0.594;0.639;0.526;0.556;0.536;0.552;0.551;0.475;0.454;0.471;1.059;0.453
70.29166666666667;1.734;1.715;1.574;1.536;1.501;1.561;1.546;1.528;1.478;1.547;1.516;1.556;1.547;1.526;1.528;1.542;1.505;1.494;1.518;1.48;1.032;1.477;1.311;1.307;0.758;1.538;1.505;1.502;1.487;1.422;1.489;1.462;1.438;1.43;1.418;1.347;0.903;0.909;0.898;0.795;1.39;1.411;1.369;1.418;1.352;1.378;1.372;1.378;1.379;1.831;1.342;1.239;1.265;1.234;1.244;1.223;1.189;1.175;1.082;1.046;0.961;1.001;1.058;0.845;0.865;0.86;0.961;0.906;0.943;0.855;0.802;0.79;0.784;0.78;0.724;0.668;0.698;0.733;0.685;0.633;0.605;0.584;0.547;0.559;0.538;0.425;0.184;0.297;1.735;0.347
