Time (hour);C0 = 1 R1;C0 = 1 R2;C0 = 1 R3;C0 = 1 R4;C0 = 1 R5;C0 = 1 R6;C0 = 1 R7;C0 = 1 R8;C0 = 1 R9;C0 = 1 R10;C0 = 1 R11;C0 = 1 R12;C0 = 1 R13;C0 = 1 R14;C0 = 1 R15;C0 = 1 R16;C0 = 1 R17;C0 = 1 R18;C0 = 1 R19;C0 = 1 R20;C0 = 1 R21;C0 = 1 R22;C0 = 1 R23;C0 = 1 R24;C0 = 1/2 R1;C0 = 1/2 R2;C0 = 1/2 R3;C0 = 1/2 R4;C0 = 1/2 R5;C0 = 1/2 R6;C0 = 1/2 R7;C0 = 1/2 R8;C0 = 1/2 R9;C0 = 1/2 R10;C0 = 1/2 R11;C0 = 1/2 R12;C0 = 1/2 R13;C0 = 1/2 R14;C0 = 1/2 R15;C0 = 1/2 R16;C0 = 1/4 R1;C0 = 1/4 R2;C0 = 1/4 R3;C0 = 1/4 R4;C0 = 1/4 R5;C0 = 1/4 R6;C0 = 1/4 R7;C0 = 1/4 R8;C0 = 1/4 R9;C0 = 1/4 R10;C0 = 1/4 R11;C0 = 1/4 R12;C0 = 1/4 R13;C0 = 1/4 R14;C0 = 1/4 R15;C0 = 1/4 R16;C0 = 1/8 R1;C0 = 1/8 R2;C0 = 1/8 R3;C0 = 1/8 R4;C0 = 1/8 R5;C0 = 1/8 R6;C0 = 1/8 R7;C0 = 1/8 R8;C0 = 1/8 R9;C0 = 1/8 R10;C0 = 1/8 R11;C0 = 1/8 R12;C0 = 1/8 R13;C0 = 1/8 R14;C0 = 1/8 R15;C0 = 1/8 R16;C0 = 1/16 R1;C0 = 1/16 R2;C0 = 1/16 R3;C0 = 1/16 R4;C0 = 1/16 R5;C0 = 1/16 R6;C0 = 1/16 R7;C0 = 1/16 R8;C0 = 1/16 R9;C0 = 1/16 R10;C0 = 1/16 R11;C0 = 1/16 R12;C0 = 1/16 R13;C0 = 1/16 R14;C0 = 1/16 R15;C0 = 1/16 R16
12.355555555555556;0.005;0.02;0.022;0.016;0.05;0.018;0.022;0.015;0.007;0.016;0.001;-0.009;-0.004;0.001;0.024;0.016;0.0;0.006;0.013;0.019;0.029;0.029;0.02;0.011;0.008;0.013;0.027;0.076;0.113;0.079;0.025;0.012;0.008;0.01;0.002;-0.004;-0.005;-0.001;0.022;0.012;0.01;0.015;0.021;0.026;0.046;0.12;0.045;0.01;0.01;0.011;0.003;-0.002;0.006;0.012;0.019;0.011;0.011;0.008;0.014;0.024;0.049;0.066;0.029;0.014;-0.002;0.008;0.013;0.008;0.018;0.02;0.018;0.012;0.005;0.004;0.001;0.01;0.013;0.009;0.025;0.016;0.01;0.002;0.014;0.021;0.027;0.017;0.021;0.01
14.994166666666667;0.003;0.013;0.015;0.015;0.033;0.016;0.014;0.011;0.004;0.01;0.002;-0.003;0.003;0.006;0.02;0.013;-0.0;-0.001;0.012;0.016;0.026;0.022;0.018;0.014;0.005;0.008;0.022;0.051;0.065;0.049;0.024;0.014;0.009;0.011;0.004;0.005;0.006;0.008;0.021;0.012;0.006;0.012;0.017;0.022;0.033;0.075;0.029;0.01;0.008;0.011;0.006;0.005;0.01;0.013;0.015;0.015;0.013;0.008;0.012;0.016;0.034;0.042;0.021;0.021;-0.0;0.011;0.011;0.01;0.017;0.017;0.017;0.015;0.012;0.004;0.003;0.008;0.011;0.007;0.019;0.042;0.0;0.001;0.012;0.016;0.023;0.014;0.018;0.01
16.964444444444446;-0.002;0.015;0.018;0.017;0.031;0.019;0.016;0.014;0.008;0.019;0.01;0.001;0.009;0.013;0.023;0.018;0.004;0.007;0.019;0.02;0.029;0.024;0.021;0.014;0.009;0.015;0.029;0.048;0.057;0.045;0.028;0.019;0.013;0.016;0.017;0.012;0.013;0.014;0.025;0.017;0.01;0.018;0.022;0.025;0.034;0.06;0.03;0.015;0.011;0.015;0.012;0.012;0.014;0.017;0.017;0.017;0.013;0.012;0.018;0.02;0.035;0.035;0.022;0.018;0.007;0.01;0.013;0.015;0.018;0.016;0.015;0.015;0.008;0.009;0.009;0.014;0.013;0.009;0.019;0.043;0.001;0.004;0.016;0.019;0.023;0.016;0.017;0.01
21.749444444444446;0.009;0.019;0.02;0.02;0.03;0.028;0.02;0.013;0.013;0.048;0.045;0.015;0.022;0.023;0.033;0.031;0.026;0.014;0.019;0.026;0.072;0.061;0.062;0.033;0.01;0.032;0.048;0.055;0.065;0.059;0.037;0.026;0.018;0.023;0.02;0.03;0.022;0.039;0.044;0.044;0.019;0.035;0.059;0.048;0.055;0.068;0.047;0.031;0.016;0.023;0.035;0.026;0.03;0.024;0.022;0.034;0.018;0.025;0.028;0.034;0.045;0.036;0.031;0.027;0.008;0.021;0.021;0.029;0.037;0.034;0.03;0.028;0.013;0.022;0.018;0.023;0.018;0.021;0.024;0.048;0.011;0.014;0.024;0.024;0.033;0.023;0.023;0.017
36.33611111111111;0.306;0.355;0.326;0.296;0.37;0.41;0.347;0.373;0.303;0.299;0.327;0.332;0.331;0.349;0.382;0.422;0.27;0.27;0.293;0.417;0.374;0.322;0.344;0.287;0.351;0.509;0.364;0.421;0.375;0.412;0.397;0.361;0.484;0.483;0.476;0.479;0.556;0.555;0.541;0.349;0.285;0.299;0.358;0.352;0.291;0.297;0.343;0.432;0.42;0.462;0.418;0.517;0.454;0.405;0.383;0.384;0.194;0.263;0.21;0.234;0.249;0.259;0.213;0.219;0.161;0.247;0.255;0.278;0.272;0.244;0.215;0.185;0.075;0.102;0.084;0.09;0.083;0.074;0.074;0.108;0.081;0.058;0.092;0.1;0.089;0.08;0.069;0.087
39.216944444444444;0.284;0.318;0.312;0.274;0.319;0.349;0.363;0.432;0.299;0.311;0.272;0.295;0.304;0.274;0.287;0.555;0.316;0.374;0.354;0.488;0.468;0.416;0.498;0.398;0.343;0.52;0.296;0.409;0.327;0.358;0.398;0.434;0.49;0.463;0.547;0.557;0.638;0.641;0.563;0.376;0.316;0.353;0.382;0.345;0.317;0.346;0.376;0.428;0.372;0.415;0.382;0.475;0.388;0.37;0.304;0.367;0.23;0.224;0.215;0.251;0.238;0.253;0.246;0.255;0.243;0.251;0.256;0.278;0.253;0.243;0.21;0.237;0.107;0.105;0.085;0.093;0.087;0.074;0.077;0.105;0.085;0.059;0.08;0.089;0.08;0.08;0.076;0.07
41.80888888888889;0.354;0.374;0.372;0.341;0.359;0.391;0.366;0.444;0.322;0.35;0.344;0.325;0.392;0.306;0.288;0.633;0.325;0.398;0.354;0.512;0.465;0.418;0.541;0.436;0.382;0.612;0.365;0.473;0.362;0.374;0.443;0.432;0.499;0.503;0.638;0.644;0.736;0.737;0.647;0.407;0.297;0.378;0.332;0.286;0.27;0.293;0.317;0.385;0.32;0.389;0.352;0.459;0.362;0.317;0.286;0.316;0.275;0.284;0.261;0.269;0.302;0.271;0.293;0.246;0.242;0.312;0.291;0.324;0.3;0.271;0.241;0.262;0.099;0.122;0.111;0.119;0.115;0.101;0.107;0.145;0.089;0.091;0.107;0.116;0.109;0.108;0.096;0.089
45.614444444444445;0.397;0.499;0.473;0.459;0.457;0.469;0.448;0.528;0.396;0.478;0.451;0.47;0.607;0.472;0.472;0.77;0.452;0.529;0.499;0.633;0.618;0.57;0.664;0.576;0.438;0.635;0.433;0.546;0.431;0.49;0.558;0.542;0.566;0.582;0.763;0.765;0.874;0.86;0.759;0.537;0.326;0.349;0.326;0.316;0.287;0.321;0.325;0.399;0.381;0.465;0.427;0.561;0.445;0.413;0.371;0.338;0.31;0.288;0.305;0.32;0.369;0.374;0.358;0.38;0.352;0.368;0.365;0.366;0.355;0.345;0.3;0.341;0.152;0.139;0.144;0.153;0.151;0.137;0.14;0.172;0.177;0.133;0.144;0.14;0.15;0.129;0.12;0.139
60.43694444444444;1.025;1.109;1.108;1.095;1.111;1.08;1.067;1.104;1.033;1.12;1.097;1.099;1.288;1.128;1.085;1.317;1.048;1.143;1.121;1.219;1.191;1.156;1.23;1.146;0.817;0.921;0.647;0.838;0.684;0.744;0.847;0.867;0.988;0.965;1.14;1.146;1.263;1.247;1.119;0.838;0.329;0.385;0.373;0.332;0.319;0.336;0.453;0.5;0.55;0.615;0.562;0.724;0.559;0.541;0.483;0.508;0.327;0.335;0.305;0.301;0.325;0.347;0.313;0.371;0.328;0.376;0.348;0.361;0.349;0.362;0.344;0.384;0.236;0.191;0.221;0.23;0.248;0.256;0.273;0.294;0.246;0.236;0.238;0.231;0.239;0.245;0.249;0.268
63.10055555555556;1.079;1.158;1.15;1.145;1.153;1.116;1.107;1.149;1.088;1.174;1.145;1.15;1.4;1.174;1.128;1.354;1.103;1.192;1.171;1.264;1.235;1.206;1.277;1.193;0.859;0.959;0.678;0.873;0.709;0.773;0.879;0.914;1.029;1.007;1.177;1.187;1.299;1.282;1.164;0.871;0.325;0.373;0.366;0.327;0.313;0.322;0.455;0.521;0.557;0.625;0.566;0.733;0.561;0.55;0.498;0.522;0.363;0.332;0.328;0.319;0.335;0.35;0.298;0.355;0.344;0.365;0.354;0.354;0.343;0.36;0.331;0.375;0.232;0.186;0.209;0.218;0.236;0.237;0.253;0.279;0.231;0.228;0.241;0.227;0.234;0.228;0.249;0.253
