Time (h) 1L;1L (mean);1L (std);Time (h) 3L;3L (mean);3L (std);Time (h) 5L;5L (mean);5L (std);Time (h) 285L;285L (mean);285L (std)
0.0;18733333.333333332;4145144.4151226166;0.0;20100000.0;2953811.097548386;0.0;17600000.0;300000.0;0.0;13233333.333333334;1798765.0084309387
3.75;19493137.25490196;5530015.7853931505;3.0;20678910.472026862;2591180.258831579;17.0;20550000.0;650000.0;15.0;17947985.347985346;3239305.9990900396
17.0;23391794.87179487;9741757.560531817;16.95;23572697.48707069;1415515.5193427876;21.0;27950000.0;750000.0;16.25;18490178.57142857;3270359.681247293
20.0;25133333.333333332;11897712.198383164;17.116666666666667;23612846.029875264;1409437.5515153736;24.0;34450000.0;1250000.0;17.5;19957358.15602837;2814571.088563913
21.0;25958333.333333332;12476817.391555518;18.5;23894464.872912347;1405302.6693669984;41.0;43150000.0;5250000.0;19.0;21714457.17403164;2890978.332247613
24.0;28233333.333333332;13949034.215871563;19.816666666666666;24339327.601892285;1626386.8740022422;45.0;47700000.0;8600000.0;20.166666666666668;23525071.225071225;2778520.201756776
27.0;30845098.039215684;16066459.675043896;20.933333333333334;24729491.666666668;1830339.7795332067;48.0;52800000.0;7800000.0;22.0;25436752.13675214;2109433.569970915
41.0;46794117.64705882;24084713.525502775;21.116666666666667;24787004.656862743;1869819.8218656061;65.0;83400000.0;9900000.0;23.166666666666668;26259049.77375566;2261325.975917464
44.0;48750000.0;23798844.509765595;22.5;25255864.037433155;2141559.7302341172;69.0;100800000.0;12200000.0;24.0;26715498.459920365;2218746.5719927778
45.0;49608333.333333336;23408139.016637404;23.983333333333334;25693721.033868093;2377615.878367598;72.0;101600000.0;11400000.0;39.0;38023882.50319285;3743577.421413132
48.0;55966666.666666664;27569346.907188226;24.05;25730824.175824177;2403562.7983702556;89.0;126000000.0;9000000.0;40.56666666666667;39608166.666666664;3633497.8632472325
51.0;60889666.13672496;30375680.268699456;25.5;27625417.485265225;1952845.2633439633;93.0;131000000.0;12000000.0;41.5;41704166.666666664;3377689.2577947755
51.083333333333336;61056045.751633994;30438859.789792743;27.016666666666666;29672118.53307138;1735359.3487762115;96.0;133500000.0;12500000.0;43.0;46206812.16931217;4821054.48592681
65.0;102202627.25779967;29562494.22339203;41.016666666666666;47425248.7562189;5571518.015459006;113.0;140000000.0;12000000.0;44.3;51470493.827160485;4285080.211838155
68.0;110666666.66666667;28931912.40750524;43.0;49107192.43289724;5856056.954013193;117.0;142000000.0;10000000.0;46.0;55302448.210922785;3822489.2958453135
69.0;110950000.0;30441501.27703954;43.766666666666666;49883307.91575889;5754640.924606115;120.0;152500000.0;9500000.0;47.25;57170715.3231663;5871036.066546424
72.0;121633333.33333333;49281662.12925678;44.983333333333334;50856324.43835968;5464866.879974684;137.0;161000000.0;6000000.0;48.25;59997293.055153094;6136149.595458375
75.0;129376470.5882353;47931334.96964505;45.06666666666667;50998582.89573799;5487658.672683309;141.0;178500000.0;4500000.0;63.0;99341311.69709261;8032096.208291208
89.0;152270588.23529413;41662290.33533993;46.5;54542698.51790109;7020902.120738181;144.0;189500000.0;6500000.0;64.16666666666667;101446732.02614379;9245015.709935457
92.0;159000000.0;43150898.020782836;48.0;58753442.44142727;8357484.900861178;161.0;203500000.0;3500000.0;65.25;103214583.33333333;10535896.395049747
93.0;163416666.66666666;42235615.565802075;48.05;58869594.273796365;8388079.090305223;165.0;205000000.0;2000000.0;67.0;107351388.88888888;14349487.155846462
96.0;173666666.66666666;35826743.58011841;48.11666666666667;59064866.91617115;8408375.086732531;168.0;220000000.0;0.0;68.16666666666667;110783333.33333333;16126150.707019785
99.0;189588235.29411766;25206322.781975918;49.5;62096739.87838953;7794540.721486478;185.0;237000000.0;4000000.0;69.0;116028042.32804233;17317518.820716664
113.0;206882352.9411765;24779907.774171077;51.016666666666666;64933872.605609514;7874272.917044661;192.0;249500000.0;9500000.0;70.0;121775661.37566137;19126826.72807675
116.0;212250000.0;27318339.38340079;65.0;82676371.96322408;13308575.841403976;209.0;267500000.0;3500000.0;71.31666666666666;129457815.12605041;22681034.328945883
117.0;219666666.66666666;26622619.87274898;65.01666666666667;82696755.01750802;13315859.379359122;216.0;269000000.0;5000000.0;72.5;132110478.85029383;23107740.994446076
120.0;240666666.66666666;28335294.049804546;66.5;83608131.94811198;12912980.773237228;233.0;285000000.0;10000000.0;87.0;157417258.63981056;23685666.5483501
123.0;253000000.0;22905603.390145972;67.91666666666667;84475943.95112325;12610302.621281609;;;;88.16666666666667;160544612.7946128;22200887.40294646
