Time (hour);C0 = 1.0 R1;C0 = 1.0 R2;C0 = 1.0 R3;C0 = 1.0 R4;C0 = 1.0 R5;C0 = 0.95 R1;C0 = 0.95 R2;C0 = 0.95 R3;C0 = 0.95 R4;C0 = 0.95 R5;C0 = 0.9 R1;C0 = 0.9 R2;C0 = 0.9 R3;C0 = 0.9 R4;C0 = 0.9 R5;C0 = 0.85 R1;C0 = 0.85 R2;C0 = 0.85 R3;C0 = 0.85 R4;C0 = 0.85 R5;C0 = 0.8 R1;C0 = 0.8 R2;C0 = 0.8 R3;C0 = 0.8 R4;C0 = 0.8 R5;C0 = 0.75 R1;C0 = 0.75 R2;C0 = 0.75 R3;C0 = 0.75 R4;C0 = 0.75 R5;C0 = 0.7 R1;C0 = 0.7 R2;C0 = 0.7 R3;C0 = 0.7 R4;C0 = 0.7 R5;C0 = 0.65 R1;C0 = 0.65 R2;C0 = 0.65 R3;C0 = 0.65 R4;C0 = 0.65 R5;C0 = 0.6 R1;C0 = 0.6 R2;C0 = 0.6 R3;C0 = 0.6 R4;C0 = 0.6 R5;C0 = 0.55 R1;C0 = 0.55 R2;C0 = 0.55 R3;C0 = 0.55 R4;C0 = 0.55 R5;C0 = 0.5 R1;C0 = 0.5 R2;C0 = 0.5 R3;C0 = 0.5 R4;C0 = 0.5 R5;C0 = 0.45 R1;C0 = 0.45 R2;C0 = 0.45 R3;C0 = 0.45 R4;C0 = 0.45 R5;C0 = 0.4 R1;C0 = 0.4 R2;C0 = 0.4 R3;C0 = 0.4 R4;C0 = 0.4 R5;C0 = 0.35 R1;C0 = 0.35 R2;C0 = 0.35 R3;C0 = 0.35 R4;C0 = 0.35 R5;C0 = 0.3 R1;C0 = 0.3 R2;C0 = 0.3 R3;C0 = 0.3 R4;C0 = 0.3 R5;C0 = 0.25 R1;C0 = 0.25 R2;C0 = 0.25 R3;C0 = 0.25 R4;C0 = 0.25 R5;C0 = 0.2 R1;C0 = 0.2 R2;C0 = 0.2 R3;C0 = 0.2 R4;C0 = 0.2 R5;C0 = 0.15 R1;C0 = 0.15 R2;C0 = 0.15 R3;C0 = 0.15 R4;C0 = 0.15 R5
4.808333333333334;-0.0165191740412979;-0.0108848574601999;-0.0103703703703703;-0.007275426874536;-0.0057227796358231;-0.0119126896041435;-0.0062407132243684;-0.0052044609665427;-0.0020864381520119;0.0010455563853622;-0.0119126896041435;0.0;-0.0020864381520119;-0.0026070763500931;0.0036662925551814;-0.0098555020377917;-0.003;-0.006;-0.005;-0.003;-0.019;-0.009;-0.008;-0.008;-0.001;-0.034;-0.01;-0.014;-0.014;0.004;-0.034;-0.011;-0.011;-0.021;0.013;-0.017;-0.008;-0.015;-0.011;0.001;-0.011;-0.009;0.002;0.0;0.015;-0.017;-0.004;0.005;0.008;0.02;-0.018;-0.008;-0.008;0.006;0.015;-0.0195732155997056;-0.0134515890613451;-0.0077922077922077;-0.0026070763500931;-0.0010439970171513;-0.016;-0.005;0.002;-0.005;-0.005;-0.021;-0.007;0.005;0.006;0.002;-0.036;-0.016;0.009;0.013;0.014;-0.008;-0.015;-0.007;0.008;0.016;-0.002;-0.008;-0.001;0.009;0.019;0.01;0.008;0.013;0.026;0.017
6.381666666666667;-0.0083086053412462;-0.0031273268801191;-0.001565411852404;-0.0;0.0015689204333208;-0.0057227796358231;0.0020926756352765;0.0031413612565445;0.0057699512926189;0.0084084084084084;-0.0041666666666666;0.0084084084084084;0.0062968515742128;0.0057699512926189;0.0115876598946576;-0.0052044609665427;0.014;0.01;0.011;0.013;-0.009;0.008;0.009;0.008;0.015;-0.016;0.004;0.004;0.002;0.019;-0.013;0.005;0.005;-0.004;0.026;-0.001;0.008;0.001;0.004;0.017;0.008;0.007;0.017;0.015;0.029;-0.005;0.012;0.018;0.02;0.03;-0.007;0.004;0.001;0.013;0.022;-0.0108848574601999;-0.0057227796358231;-0.001565411852404;0.0026168224299065;0.0036662925551814;-0.004;0.008;0.016;0.009;0.01;-0.01;0.005;0.017;0.017;0.015;-0.02;-0.022;-0.009;0.001;0.006;0.006;-0.0;0.007;0.02;0.024;0.012;0.007;0.012;0.019;0.021;0.004;0.008;0.013;0.022;-0.006
7.479166666666667;-0.0088246199480904;-0.0036471901749162;-0.0005221932114882;0.0015689204333208;0.0020926756352765;-0.0052044609665427;0.0005225830533781;0.0026168224299065;0.0062968515742128;0.0094665664913598;-0.0036471901749162;0.0078799249530956;0.0062968515742128;0.0052434456928838;0.0115876598946576;-0.0046857567869096;0.012;0.009;0.009;0.012;-0.006;0.006;0.007;0.006;0.013;-0.005;0.007;0.002;-0.0;0.017;-0.007;0.005;0.002;-0.007;0.024;-0.002;0.006;-0.001;0.002;0.015;0.004;0.004;0.016;0.013;0.028;-0.001;0.01;0.016;0.02;0.031;-0.003;0.002;-0.001;0.014;0.023;-0.0124260355029585;-0.0062407132243684;-0.0010439970171513;0.0031413612565445;0.004191616766467;-0.003;0.01;0.015;0.008;0.009;-0.008;0.005;0.017;0.017;0.015;-0.023;-0.007;0.003;0.01;0.013;0.004;-0.001;0.005;0.019;0.024;0.011;0.006;0.011;0.019;0.019;0.01;0.013;0.016;0.029;0.001
8.565555555555555;-0.0098555020377917;-0.0052044609665427;-0.0031273268801191;-0.0005221932114882;0.0005225830533781;-0.0098555020377917;-0.0;0.0015689204333208;0.0047173343317109;0.0084084084084084;-0.007275426874536;0.0068241469816272;0.0052434456928838;0.004191616766467;0.0099962420142803;-0.0046857567869096;0.01;0.007;0.008;0.01;-0.006;0.004;0.005;0.004;0.012;-0.019;0.005;0.001;-0.002;0.016;-0.02;0.003;0.002;-0.008;0.022;-0.009;0.003;-0.002;0.001;0.014;-0.012;0.004;0.014;0.013;0.028;-0.005;0.008;0.016;0.019;0.03;-0.01;-0.001;-0.003;0.012;0.022;-0.0124260355029585;-0.0088246199480904;-0.0031273268801191;0.0015689204333208;0.0031413612565445;-0.005;0.007;0.013;0.007;0.007;-0.011;0.003;0.015;0.016;0.013;-0.023;-0.021;-0.008;0.0;0.007;0.003;-0.003;0.005;0.019;0.024;0.009;0.005;0.011;0.02;0.021;0.006;0.01;0.016;0.03;0.001
9.998888888888889;-0.009340252038547;-0.001565411852404;0.0005225830533781;0.0026168224299065;0.0031413612565445;-0.0036471901749162;0.0026168224299065;0.004191616766467;0.0073518379594898;0.0110567882662655;-0.0031273268801191;0.0115876598946576;0.0078799249530956;0.0062968515742128;0.0131826741996233;-0.0;0.017;0.013;0.012;0.015;-0.009;0.008;0.009;0.008;0.016;-0.018;-0.005;0.004;0.001;0.019;-0.008;-0.008;0.004;-0.006;0.026;0.002;0.007;0.0;0.004;0.017;0.008;0.008;0.018;0.016;0.03;-0.006;0.012;0.02;0.022;0.033;-0.005;0.005;0.003;0.015;0.024;-0.0119126896041435;-0.0108848574601999;-0.0020864381520119;0.0031413612565445;0.004191616766467;-0.001;0.012;0.018;0.011;0.011;-0.006;0.009;0.023;0.023;0.018;-0.023;-0.003;0.008;0.015;0.018;0.006;0.0;0.008;0.024;0.027;0.013;0.009;0.015;0.024;0.026;0.015;0.017;0.023;0.037;0.008
21.63083333333333;0.0010455563853622;0.0062968515742128;0.0084084084084084;0.0110567882662655;0.0094665664913598;-0.001565411852404;0.0089372887720615;0.0121189311253293;0.0142480211081794;0.0212121212121212;-0.0020864381520119;0.0174537211938043;0.0147812971342383;0.0142480211081794;0.0206739871260886;0.0020926756352765;0.029;0.03;0.029;0.032;-0.006;0.02;0.023;0.024;0.031;-0.001;0.021;0.017;0.016;0.034;0.009;0.02;0.018;0.01;0.041;-0.004;0.016;0.014;0.017;0.031;0.006;0.016;0.026;0.028;0.044;0.003;0.014;0.027;0.033;0.045;0.005;0.003;0.005;0.024;0.034;-0.0046857567869096;-0.0057227796358231;-0.0052044609665427;0.0073518379594898;0.0099962420142803;0.006;0.02;0.028;0.027;0.027;-0.001;0.017;0.032;0.034;0.032;-0.011;-0.001;0.016;0.026;0.027;0.017;0.013;0.021;0.035;0.036;0.025;0.023;0.028;0.033;0.032;0.022;0.025;0.031;0.04;-0.002
22.82138888888889;0.0036662925551814;0.0052434456928838;0.0047173343317109;0.0084084084084084;0.0089372887720615;0.0010455563853622;0.0089372887720615;0.0121189311253293;0.0147812971342383;0.0212121212121212;-0.0;0.0174537211938043;0.0169184290030211;0.0153149754809505;0.0201362604087812;0.0015689204333208;0.032;0.032;0.031;0.034;0.002;0.024;0.026;0.026;0.034;0.003;0.025;0.023;0.021;0.036;0.005;0.024;0.02;0.014;0.042;0.008;0.019;0.018;0.022;0.035;0.017;0.022;0.03;0.032;0.047;0.008;0.021;0.033;0.036;0.047;0.009;0.013;0.011;0.027;0.035;-0.0020864381520119;-0.0036471901749162;0.0026168224299065;0.0084084084084084;0.0094665664913598;-0.0;0.018;0.029;0.027;0.028;-0.009;0.014;0.031;0.035;0.032;-0.008;-0.008;0.002;0.019;0.024;0.018;0.015;0.022;0.036;0.034;0.025;0.024;0.028;0.034;0.031;0.017;0.022;0.032;0.042;0.004
24.13;-0.0041666666666666;0.0036662925551814;0.0057699512926189;0.0078799249530956;0.0062968515742128;-0.0020864381520119;0.0062968515742128;0.0078799249530956;0.0110567882662655;0.0174537211938043;-0.0;0.0169184290030211;0.0126506024096385;0.0110567882662655;0.0158490566037735;0.0026168224299065;0.026;0.022;0.022;0.024;0.001;0.015;0.016;0.014;0.023;0.005;0.015;0.011;0.008;0.025;0.003;0.013;0.009;0.001;0.032;0.004;0.009;0.008;0.011;0.024;0.016;0.015;0.024;0.024;0.038;0.01;0.018;0.03;0.031;0.042;0.005;0.009;0.005;0.021;0.031;-0.0098555020377917;-0.001565411852404;0.0026168224299065;0.0068241469816272;0.0084084084084084;-0.003;0.012;0.02;0.017;0.019;-0.008;0.011;0.027;0.029;0.022;-0.024;-0.001;0.012;0.017;0.022;0.006;0.003;0.013;0.029;0.033;0.015;0.013;0.021;0.03;0.036;0.014;0.018;0.027;0.042;0.015
27.07111111111111;0.0057699512926189;0.0078799249530956;0.0105263157894736;0.0131826741996233;0.0131826741996233;0.0026168224299065;0.0126506024096385;0.0153149754809505;0.0174537211938043;0.0239089184060721;0.0020926756352765;0.0228289723170269;0.0201362604087812;0.0190620272314674;0.0228289723170269;0.0094665664913598;0.042;0.039;0.037;0.039;0.013;0.026;0.031;0.029;0.038;0.009;0.017;0.026;0.024;0.041;0.009;0.026;0.025;0.015;0.048;0.012;0.019;0.022;0.026;0.039;0.022;0.027;0.035;0.035;0.051;0.008;0.025;0.037;0.039;0.052;0.008;0.012;0.012;0.029;0.038;-0.0020864381520119;-0.0036471901749162;-0.0020864381520119;0.0089372887720615;0.0110567882662655;0.008;0.021;0.032;0.032;0.034;-0.001;0.021;0.037;0.039;0.037;-0.009;-0.002;0.02;0.03;0.034;0.019;0.016;0.026;0.04;0.042;0.028;0.027;0.034;0.04;0.043;0.025;0.029;0.04;0.053;0.02
28.68611111111111;0.0105263157894736;0.0147812971342383;0.0195989405978055;0.0222896133434419;0.0195989405978055;0.0115876598946576;0.0185255198487712;0.0206739871260886;0.0239089184060721;0.0298780487804878;0.0163835409588523;0.0309687261632341;0.0260737362219688;0.0239089184060721;0.0282451465550057;0.0201362604087812;0.057;0.048;0.047;0.047;0.027;0.038;0.04;0.038;0.045;0.032;0.038;0.037;0.033;0.049;0.023;0.036;0.033;0.022;0.056;0.016;0.027;0.03;0.033;0.046;0.023;0.035;0.041;0.044;0.058;0.016;0.032;0.047;0.047;0.06;0.017;0.017;0.018;0.036;0.046;0.0020926756352765;0.0010455563853622;0.0010455563853622;0.0105263157894736;0.0126506024096385;0.014;0.029;0.037;0.038;0.042;0.005;0.028;0.043;0.044;0.042;-0.004;0.002;0.018;0.03;0.034;0.021;0.021;0.032;0.045;0.046;0.032;0.032;0.038;0.045;0.047;0.022;0.026;0.039;0.043;0.01
