Time (hour);C0 = 1 R1;C0 = 1 R2;C0 = 1 R3;C0 = 1 R4;C0 = 1 R5;C0 = 1 R6;C0 = 1 R7;C0 = 1 R8;C0 = 1 R9;C0 = 1 R10;C0 = 1 R11;C0 = 1 R12;C0 = 1 R13;C0 = 1 R14;C0 = 1 R15;C0 = 1 R16;C0 = 1 R17;C0 = 1 R18;C0 = 1 R19;C0 = 1 R20;C0 = 1 R21;C0 = 1 R22;C0 = 1 R23;C0 = 1 R24;C0 = 1/2 R1;C0 = 1/2 R2;C0 = 1/2 R3;C0 = 1/2 R4;C0 = 1/2 R5;C0 = 1/2 R6;C0 = 1/2 R7;C0 = 1/2 R8;C0 = 1/2 R9;C0 = 1/2 R10;C0 = 1/2 R11;C0 = 1/2 R12;C0 = 1/2 R13;C0 = 1/2 R14;C0 = 1/2 R15;C0 = 1/2 R16;C0 = 1/4 R1;C0 = 1/4 R2;C0 = 1/4 R3;C0 = 1/4 R4;C0 = 1/4 R5;C0 = 1/4 R6;C0 = 1/4 R7;C0 = 1/4 R8;C0 = 1/4 R9;C0 = 1/4 R10;C0 = 1/4 R11;C0 = 1/4 R12;C0 = 1/4 R13;C0 = 1/4 R14;C0 = 1/4 R15;C0 = 1/4 R16;C0 = 1/8 R1;C0 = 1/8 R2;C0 = 1/8 R3;C0 = 1/8 R4;C0 = 1/8 R5;C0 = 1/8 R6;C0 = 1/8 R7;C0 = 1/8 R8;C0 = 1/8 R9;C0 = 1/8 R10;C0 = 1/8 R11;C0 = 1/8 R12;C0 = 1/8 R13;C0 = 1/8 R14;C0 = 1/8 R15;C0 = 1/8 R16;C0 = 1/16 R1;C0 = 1/16 R2;C0 = 1/16 R3;C0 = 1/16 R4;C0 = 1/16 R5;C0 = 1/16 R6;C0 = 1/16 R7;C0 = 1/16 R8;C0 = 1/16 R9;C0 = 1/16 R10;C0 = 1/16 R11;C0 = 1/16 R12;C0 = 1/16 R13;C0 = 1/16 R14;C0 = 1/16 R15;C0 = 1/16 R16
5.582222222222223;-0.003;-0.001;0.0;0.001;0.005;0.006;-0.001;-0.005;0.0;-0.001;-0.002;-0.005;-0.006;0.002;0.01;0.006;-0.004;-0.0;0.009;0.01;0.011;0.012;0.01;0.003;-0.003;0.003;0.008;0.013;0.013;0.014;0.01;-0.005;0.001;0.001;-0.002;-0.006;0.003;-0.0;0.006;0.004;-0.0;0.0;0.007;0.009;0.011;0.013;0.011;0.001;-0.0;0.003;-0.0;0.003;0.009;0.004;0.006;0.007;-0.001;0.003;0.004;0.009;0.007;0.011;0.005;0.005;-0.003;0.004;0.008;0.008;0.012;0.01;0.012;0.004;-0.004;-0.003;0.0;0.002;0.007;0.009;0.01;0.008;-0.002;0.0;0.004;0.007;0.012;0.009;0.01;0.003
22.1525;0.02;0.016;0.02;0.021;0.025;0.027;0.024;0.011;0.052;0.023;0.011;0.003;0.001;0.015;0.044;0.048;0.006;0.024;0.036;0.033;0.026;0.038;0.042;0.033;0.019;0.024;0.036;0.036;0.041;0.036;0.026;0.023;0.055;0.027;0.014;0.004;0.01;0.021;0.045;0.045;0.057;0.027;0.033;0.041;0.038;0.043;0.035;0.051;0.059;0.04;0.027;0.026;0.033;0.035;0.055;0.057;0.068;0.04;0.052;0.054;0.043;0.047;0.045;0.064;0.08;0.046;0.045;0.042;0.045;0.056;0.068;0.066;0.067;0.034;0.035;0.033;0.027;0.03;0.048;0.057;0.054;0.037;0.038;0.041;0.038;0.038;0.052;0.046
23.211944444444445;0.024;0.024;0.025;0.027;0.03;0.033;0.03;0.021;0.06;0.027;0.013;0.008;0.008;0.02;0.048;0.052;0.012;0.027;0.041;0.036;0.031;0.04;0.045;0.032;0.03;0.034;0.04;0.046;0.051;0.047;0.045;0.04;0.06;0.03;0.021;0.01;0.018;0.029;0.052;0.051;0.064;0.044;0.048;0.053;0.048;0.056;0.057;0.061;0.073;0.042;0.036;0.031;0.044;0.046;0.07;0.07;0.097;0.062;0.059;0.06;0.053;0.061;0.063;0.078;0.097;0.059;0.057;0.055;0.058;0.066;0.079;0.078;0.067;0.038;0.033;0.034;0.033;0.038;0.056;0.062;0.057;0.032;0.037;0.041;0.039;0.043;0.059;0.053
24.833055555555557;0.037;0.031;0.033;0.031;0.039;0.043;0.046;0.029;0.066;0.028;0.018;0.016;0.015;0.025;0.056;0.059;0.025;0.031;0.046;0.042;0.038;0.048;0.053;0.043;0.046;0.047;0.052;0.054;0.074;0.058;0.053;0.05;0.074;0.048;0.03;0.021;0.028;0.042;0.063;0.061;0.079;0.057;0.058;0.067;0.056;0.063;0.064;0.063;0.095;0.066;0.049;0.052;0.06;0.061;0.081;0.08;0.121;0.089;0.079;0.083;0.074;0.084;0.078;0.09;0.125;0.086;0.083;0.075;0.081;0.093;0.102;0.091;0.065;0.039;0.035;0.035;0.036;0.038;0.059;0.06;0.066;0.039;0.048;0.046;0.048;0.048;0.062;0.061
26.09777777777778;0.044;0.038;0.036;0.039;0.045;0.048;0.05;0.035;0.059;0.042;0.03;0.026;0.023;0.036;0.064;0.067;0.03;0.041;0.054;0.051;0.047;0.058;0.064;0.048;0.058;0.06;0.063;0.059;0.08;0.065;0.064;0.055;0.072;0.063;0.044;0.034;0.042;0.053;0.073;0.073;0.089;0.073;0.071;0.077;0.071;0.074;0.077;0.08;0.096;0.082;0.067;0.067;0.077;0.078;0.094;0.092;0.127;0.114;0.102;0.104;0.093;0.107;0.098;0.109;0.118;0.105;0.1;0.098;0.099;0.111;0.119;0.105;0.064;0.052;0.045;0.047;0.049;0.048;0.069;0.072;0.061;0.051;0.059;0.055;0.057;0.056;0.072;0.07
28.398333333333333;0.074;0.061;0.06;0.058;0.063;0.063;0.067;0.048;0.091;0.059;0.049;0.043;0.039;0.052;0.08;0.085;0.058;0.061;0.069;0.065;0.062;0.07;0.076;0.061;0.093;0.09;0.092;0.081;0.104;0.085;0.079;0.07;0.113;0.081;0.063;0.053;0.059;0.068;0.085;0.089;0.145;0.108;0.1;0.103;0.092;0.103;0.105;0.105;0.144;0.123;0.098;0.092;0.102;0.102;0.117;0.12;0.171;0.148;0.128;0.133;0.116;0.139;0.134;0.14;0.166;0.145;0.129;0.13;0.133;0.146;0.144;0.138;0.103;0.078;0.063;0.06;0.065;0.063;0.08;0.088;0.09;0.07;0.074;0.074;0.069;0.068;0.083;0.085
29.75611111111111;0.073;0.058;0.067;0.064;0.066;0.054;0.059;0.036;0.105;0.063;0.055;0.046;0.042;0.046;0.069;0.073;0.076;0.067;0.075;0.071;0.068;0.071;0.07;0.061;0.097;0.09;0.088;0.081;0.105;0.08;0.071;0.055;0.126;0.085;0.072;0.055;0.057;0.064;0.079;0.076;0.154;0.112;0.114;0.109;0.093;0.102;0.093;0.079;0.167;0.137;0.106;0.099;0.102;0.102;0.114;0.108;0.141;0.147;0.145;0.148;0.124;0.137;0.126;0.13;0.163;0.163;0.14;0.149;0.141;0.142;0.141;0.136;0.118;0.077;0.061;0.056;0.06;0.058;0.067;0.077;0.098;0.074;0.08;0.092;0.068;0.064;0.074;0.066
46.36055555555556;0.271;0.2;0.16;0.167;0.185;0.227;0.231;0.233;0.207;0.161;0.154;0.161;0.153;0.193;0.227;0.271;0.287;0.219;0.214;0.208;0.204;0.196;0.243;0.238;0.339;0.256;0.21;0.232;0.265;0.272;0.295;0.279;0.362;0.22;0.206;0.208;0.228;0.258;0.314;0.32;0.318;0.296;0.282;0.281;0.267;0.275;0.295;0.212;0.298;0.29;0.255;0.245;0.25;0.246;0.26;0.228;0.237;0.197;0.195;0.22;0.222;0.259;0.246;0.19;0.209;0.179;0.177;0.18;0.179;0.226;0.237;0.235;0.145;0.123;0.105;0.11;0.119;0.125;0.155;0.135;0.153;0.138;0.113;0.11;0.108;0.12;0.151;0.104
47.41388888888889;0.358;0.298;0.226;0.249;0.285;0.301;0.305;0.292;0.291;0.242;0.191;0.246;0.231;0.263;0.288;0.31;0.374;0.306;0.277;0.28;0.298;0.304;0.325;0.31;0.376;0.382;0.288;0.329;0.376;0.353;0.38;0.368;0.39;0.339;0.263;0.3;0.325;0.346;0.387;0.404;0.339;0.295;0.293;0.309;0.292;0.313;0.299;0.233;0.379;0.314;0.278;0.275;0.272;0.268;0.285;0.276;0.243;0.208;0.201;0.208;0.224;0.243;0.243;0.173;0.229;0.191;0.194;0.208;0.215;0.245;0.239;0.252;0.158;0.142;0.115;0.114;0.125;0.116;0.141;0.152;0.154;0.152;0.125;0.119;0.108;0.114;0.13;0.103
51.27194444444444;0.501;0.378;0.345;0.308;0.347;0.373;0.375;0.434;0.395;0.356;0.291;0.284;0.295;0.338;0.359;0.466;0.472;0.359;0.342;0.331;0.33;0.319;0.367;0.478;0.473;0.472;0.39;0.375;0.412;0.394;0.378;0.361;0.506;0.46;0.359;0.346;0.373;0.347;0.384;0.341;0.416;0.432;0.427;0.414;0.373;0.377;0.413;0.417;0.499;0.48;0.459;0.365;0.339;0.341;0.334;0.407;0.261;0.243;0.249;0.25;0.236;0.259;0.244;0.2;0.254;0.248;0.241;0.251;0.242;0.26;0.261;0.261;0.146;0.141;0.114;0.139;0.131;0.136;0.153;0.166;0.175;0.185;0.148;0.151;0.15;0.15;0.155;0.134
