C0 condition;Tri 1;Tri 2;Tri 3;Mean;Dilution 1;Dilution 2;Division by volume 1 µL;OD ;Ratio cell/OD (/L);Ratio cell/OD (/mL);cell / mL;Mean per triplicates;
0A;93;108;94;98.3333333333333;1966.66666666667;6555.55555555555;65555555555.5555;12.68;5169996494.91763;5169996.49491763;65555555.5555556;4600781.3173067;0
0B;91;93;80;88;1760;5866.66666666667;58666666666.6667;13.82;4245055475.15678;4245055.47515678;58666666.6666667;5454153.94741466;1
0C;105;100;56;87;1740;5800;5.800E+10;13.22;4387291981.84569;4387291.98184569;5.800E+07;5560857.89473901;2
1A;91;111;134;112;1120;3733.33333333333;37333333333.3333;6.5;5743589743.58974;5743589.74358974;37333333.3333333;5056096.31423191;3
1B;124;92;115;110.333333333333;1103.33333333333;3677.77777777778;36777777777.7778;6.81;5400554739.76179;5400554.73976179;36777777.7777778;3679790.56167551;4
1C;87;83;124;98;980;3266.66666666667;32666666666.6667;6.26;5218317358.89244;5218317.35889244;32666666.6666667;;
2A;169;157;169;165;1650;1650;1.650E+10;3.03;5445544554.45545;5445544.55445545;1.650E+07;;
2B;156;159;117;144;1440;1440;1.440E+10;2.74;5255474452.55474;5255474.45255474;1.440E+07;;
2C;148;134;172;151.333333333333;1513.33333333333;1513.33333333333;15133333333.3333;2.53;5981554677.20685;5981554.67720685;15133333.3333333;;
3A;46;52;43;47;470;470;4.700E+09;1.18;3983050847.45763;3983050.84745763;4.700E+06;;
3B;62;80;60;67.3333333333333;673.333333333333;673.333333333333;6733333333.33333;1.12;6011904761.90476;6011904.76190476;6733333.33333333;;
3C;73;67;54;64.6666666666667;646.666666666667;646.666666666667;6466666666.66667;1.25;5173333333.33333;5173333.33333333;6466666.66666667;;
4A;66;56;44;55.3333333333333;276.666666666667;276.666666666667;2766666666.66667;0.645;4289405684.75452;4289405.68475452;2766666.66666667;;
4B;51;49;40;46.6666666666667;233.333333333333;233.333333333333;2333333333.33333;0.76;3070175438.59649;3070175.43859649;2333333.33333333;;
